охра	ɔ x r ɐ
обстежувати	ɔ b s t ɛ ʒ ʊ ʋ ɐ t e
цегляний	t͡s e ɦ lʲ ɐ n ɪ i̯
мене	m e n ɛ
стандарт	s t ɐ n d ɑ r t
мем	m ɛ m
концентрація	k ɔ n t͡s e n t r ɑ t͡sʲ i j ɐ
глядачка	ɦ lʲ ɐ d ɑ t͡ʃ k ɐ
телеканал	t e ɫ e k ɐ n ɑ ɫ
архієпископ	ɐ r xʲ i j e p ɪ s k ɔ p
лексикографічний	ɫ e k s e k ɔ ɦ r ɐ fʲ i t͡ʃ n e i̯
трагедія	t r ɐ ɦ ɛ dʲ i j ɐ
чотирикутний	t͡ʃ ɔ t e r e k u t n e i̯
босоногий	b ɔ s ɔ n ɔ ɦ e i̯
левиця	ɫ e ʋ ɪ t͡sʲ ɐ
етап	e t ɑ p
свекруха	s ʋ e k r u x ɐ
делегувати	d e ɫ e ɦ ʊ ʋ ɑ t e
робота	r ɔ b ɔ t ɐ
хутро	x u t r ɔ
мотоциклах	m ɔ t ɔ t͡s ɪ k ɫ ɐ x
кобальтовий	k ɔ b ɐ lʲ t ɔ ʋ e i̯
обов'язково	ɔ b ɔ ʋ j ɐ z k ɔ w ɔ
аквамариновий	ɐ k ʋ ɐ m ɐ r ɪ n ɔ ʋ e i̯
ефект	e f ɛ k t
пропозиція	p r ɔ p ɔ z ɪ t͡sʲ i j ɐ
навруз	n ɐ u̯ r u z
зекономити	z e k ɔ n ɔ m e t e
бидло	b ɪ d ɫ ɔ
травень	t r ɑ ʋ e nʲ
непомірний	n e p o mʲ i r n e i̯
автопортрет	ɐ u̯ t ɔ p ɔ r t r ɛ t
працівницям	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ ɐ m
штандарт	ʃ t ɐ n d ɑ r t
день	d ɛ nʲ
авіатика	ɐ ʋʲ i ɑ t e k ɐ
геноцидів	ɦ e n ɔ t͡s ɪ dʲ i u̯
помирати	p ɔ m e r ɑ t e
комедіям	k ɔ m ɛ dʲ i j ɐ m
епох	e p ɔ x
вени	ʋ ɛ n e
виснажувати	ʋ e s n ɑ ʒ ʊ ʋ ɐ t e
напередодні	n ɐ p e r e d ɔ dʲ nʲ i
самобутній	s ɐ m o b u tʲ nʲ i i̯
віру	ʋʲ i r ʊ
горизонтальний	ɦ ɔ r e z ɔ n t ɑ lʲ n e i̯
зайняти	z ɐ i̯ nʲ ɑ t e
друзями	d r u zʲ ɐ m e
курити	k ʊ r ɪ t e
кришка	k r ɪ ʃ k ɐ
термометричний	t e r m ɔ m e t r ɪ t͡ʃ n e i̯
сусідів	s ʊ sʲ i dʲ i u̯
нестерпний	n e s t ɛ r p n e i̯
сімдесятий	sʲ i m d e sʲ ɑ t e i̯
лучник	ɫ u t͡ʃ n e k
наприкінці	n ɐ p r ɪ kʲ i nʲ t͡sʲ i
плащ	p ɫ ɑ ʃ t͡ʃ
семисотий	s e m e s ɔ t e i̯
теплий	t ɛ p ɫ e i̯
авіамаяк	ɐ ʋʲ i ɐ m ɐ j ɑ k
сюрприз	sʲ ʊ r p r ɪ z
крихітний	k r ɪ xʲ i t n e i̯
стрибати	s t r e b ɑ t e
ними	n ɪ m e
вітальні	ʋʲ i t ɑ lʲ nʲ i
упевненість	ʊ p ɛ u̯ n e nʲ i sʲ tʲ
погоджуватися	p ɔ ɦ ɔ d͡ʒ ʊ ʋ ɐ t e sʲ ɐ
блювати	b lʲ ʊ ʋ ɑ t e
жасмин	ʒ ɐ s m ɪ n
бацяр	b ɑ t͡sʲ ɐ r
наявний	n ɐ j ɑ u̯ n e i̯
зобов'язання	z ɔ b ɔ ʋ j ɑ z ɐ nʲː ɐ
мікроскоп	mʲ i k r ɔ s k ɔ p
молоти	m ɔ ɫ ɔ t e
постать	p ɔ s t ɐ tʲ
повікам	p ɔ ʋʲ i k ɐ m
ожина	ɔ ʒ ɪ n ɐ
завдання	z ɐ u̯ d ɑ nʲː ɐ
кохання	k ɔ x ɑ nʲː ɐ
систематизувати	s e s t e m ɐ t e z ʊ ʋ ɑ t e
худнути	x u d n ʊ t e
ростити	r ɔ s t ɪ t e
авіамоделізм	ɐ ʋʲ i ɐ m ɔ d e lʲ i z m
пленум	p ɫ ɛ n ʊ m
погуляти	p ɔ ɦ ʊ lʲ ɑ t e
валець	ʋ ɐ ɫ ɛ t͡sʲ
дзеркало	d͡z ɛ r k ɐ ɫ ɔ
обшук	ɔ b ʃ ʊ k
автоводоцистерна	ɐ u̯ t ɔ w ɔ d ɔ t͡s e s t ɛ r n ɐ
самоповага	s ɐ m ɔ p ɔ ʋ ɑ ɦ ɐ
ріпами	rʲ i p ɐ m e
софія	s o fʲ i j ɐ
секунда	s e k u n d ɐ
диспетчер	d e s p ɛ t͡ʃː e r
автаркізм	ɐ u̯ t ɐ r kʲ i z m
винокур	ʋ e n o k u r
киплячий	k e p lʲ ɑ t͡ʃ e i̯
масштаб	m ɐ ʃː t ɑ b
щастя	ʃ t͡ʃ ɑ sʲ tʲ ɐ
перезаписати	p e r e z ɐ p e s ɑ t e
сусідній	s ʊ sʲ i dʲ nʲ i i̯
масаж	m ɐ s ɑ ʒ
боліти	b o lʲ i t e
похвала	p ɔ x ʋ ɐ ɫ ɑ
приданий	p r ɪ d ɐ n e i̯
пропорціям	p r ɔ p ɔ r t͡sʲ i j ɐ m
діагностувати	dʲ i ɐ ɦ n ɔ s t ʊ ʋ ɑ t e
піч	pʲ i t͡ʃ
зателефонувати	z ɐ t e ɫ e f ɔ n ʊ ʋ ɑ t e
суперник	s ʊ p ɛ r n e k
ангольський	ɐ n ɦ ɔ lʲ sʲ k e i̯
епідеміологія	e pʲ i d e mʲ i ɔ ɫ ɔ ɦʲ i j ɐ
когось	k ɔ ɦ ɔ sʲ
позбавити	p ɔ z b ɑ ʋ e t e
вільнодумство	ʋʲ i lʲ n o d u m s t w ɔ
двері	d ʋ ɛ rʲ i
виявитися	ʋ ɪ j ɐ ʋ e t e sʲ ɐ
пласт	p ɫ ɑ s t
брухт	b r u x t
познань	p ɔ z n ɐ nʲ
безстроковий	b e z s t r ɔ k ɔ ʋ e i̯
птиця	p t ɪ t͡sʲ ɐ
обережний	ɔ b e r ɛ ʒ n e i̯
видатний	ʋ e d ɐ t n ɪ i̯
мотоциклам	m ɔ t ɔ t͡s ɪ k ɫ ɐ m
другові	d r u ɦ ɔ ʋʲ i
монохромний	m ɔ n ɔ x r ɔ m n e i̯
звіря	zʲ ʋʲ i rʲ ɑ
безглуздість	b e z ɦ ɫ u zʲ dʲ i sʲ tʲ
маска	m ɑ s k ɐ
іграшка	i ɦ r ɐ ʃ k ɐ
маланка	m ɐ ɫ ɑ n k ɐ
гривня	ɦ r ɪ u̯ nʲ ɐ
пересічний	p e r e sʲ i t͡ʃ n e i̯
емілія	e mʲ i lʲ i j ɐ
баварський	b ɐ ʋ ɑ r sʲ k e i̯
кукурудза	k ʊ k ʊ r u d͡z ɐ
анафема	ɐ n ɑ f e m ɐ
тесть	t ɛ sʲ tʲ
засмутити	z ɐ s m ʊ t ɪ t e
переривати	p e r e r e ʋ ɑ t e
савченко	s ɑ u̯ t͡ʃ e n k ɔ
авіадесантник	ɐ ʋʲ i ɐ d e s ɑ n t n e k
портативний	p ɔ r t ɐ t ɪ u̯ n e i̯
революція	r e w o lʲ u t͡sʲ i j ɐ
чось	t͡ʃ ɔ sʲ
найнижчий	n ɐ i̯ n ɪ ʒ t͡ʃ e i̯
моє	m ɔ j ɛ
абрикос	ɐ b r e k ɔ s
таємницею	t ɐ j e m n ɪ t͡s e j ʊ
надзвуковий	n ɐ d͡z w ʊ k ɔ ʋ ɪ i̯
функціональний	f ʊ n k t͡sʲ i ɔ n ɑ lʲ n e i̯
відлякувати	ʋʲ i dʲ lʲ ɑ k ʊ ʋ ɐ t e
породілля	p ɔ r o dʲ i lʲː ɐ
дейтон	d ɛ i̯ t ɔ n
корисний	k ɔ r e s n e i̯
рецесія	r e t͡s ɛ sʲ i j ɐ
швидкість	ʃ ʋ ɪ dʲ kʲ i sʲ tʲ
нинішній	n ɪ nʲ i ʃ nʲ i i̯
громадянство	ɦ r ɔ m ɐ dʲ ɑ n s t w ɔ
піддержати	pʲ i dː ɛ r ʒ ɐ t e
квітень	k ʋʲ i t e nʲ
власті	w ɫ ɑ sʲ tʲ i
варіант	ʋ ɐ rʲ i ɑ n t
бавитися	b ɑ ʋ e t e sʲ ɐ
недоконаний	n e d ɔ k ɔ n ɐ n e i̯
кара	k ɑ r ɐ
тлумачити	t ɫ ʊ m ɑ t͡ʃ e t e
номінальний	n ɔ mʲ i n ɑ lʲ n e i̯
корупція	k o r u p t͡sʲ i j ɐ
мінськ	mʲ i nʲ sʲ k
засідання	z ɐ sʲ i d ɐ nʲː ɐ
рацію	r ɑ t͡sʲ i j ʊ
незалежносте	n e z ɐ ɫ ɛ ʒ n ɔ s t e
вуглевод	w ʊ ɦ ɫ e w ɔ d
дисиміляція	d e s e mʲ i lʲ ɑ t͡sʲ i j ɐ
гостювати	ɦ ɔ sʲ tʲ ʊ ʋ ɑ t e
акціонер	ɐ k t͡sʲ i ɔ n ɛ r
надію	n ɐ dʲ i j ʊ
ідеалістичний	i d e ɐ lʲ i s t ɪ t͡ʃ n e i̯
конкурс	k ɔ n k ʊ r s
перекладачка	p e r e k ɫ ɐ d ɑ t͡ʃ k ɐ
троє	t r ɔ j e
зібратися	zʲ i b r ɑ t e sʲ ɐ
інституційний	i n s t e t ʊ t͡sʲ i i̯ n e i̯
шибеницями	ʃ ɪ b e n e t͡sʲ ɐ m e
ворота	w ɔ r ɔ t ɐ
стрічки	s tʲ rʲ i t͡ʃ k e
лексикографія	ɫ e k s e k ɔ ɦ r ɑ fʲ i j ɐ
рицар	r ɪ t͡s ɐ r
філіжанка	fʲ i lʲ i ʒ ɑ n k ɐ
дані	d ɑ nʲ i
падати	p ɑ d ɐ t e
скроням	s k r ɔ nʲ ɐ m
одержувача	ɔ d ɛ r ʒ ʊ ʋ ɐ t͡ʃ ɐ
естонський	e s t ɔ nʲ sʲ k e i̯
гривням	ɦ r ɪ u̯ nʲ ɐ m
змусити	z m u s e t e
саботувати	s ɐ b ɔ t ʊ ʋ ɑ t e
інтерактивний	i n t e r ɐ k t ɪ u̯ n e i̯
двадцятиоднокутник	d ʋ ɐ d͡zʲ t͡sʲ ɐ t e ɔ d n o k u t n e k
алло	ɐ ɫː ɔ
сантиметр	s ɐ n t e m ɛ t r
довіряти	d ɔ ʋʲ i rʲ ɑ t e
військовий	ʋʲ i i̯ sʲ k ɔ ʋ e i̯
автореференція	ɑ u̯ t ɔ r e f e r ɛ nʲ t͡sʲ i j ɐ
чудище	t͡ʃ u d e ʃ t͡ʃ e
гро	ɦ r ɔ
частка	t͡ʃ ɑ s t k ɐ
змагатися	z m ɐ ɦ ɑ t e sʲ ɐ
оцією	ɔ t͡sʲ i j ɛ j ʊ
змова	z m ɔ ʋ ɐ
тобою	t ɔ b ɔ j ʊ
революціонерка	r e w ɔ lʲ ʊ t͡sʲ i ɔ n ɛ r k ɐ
намисто	n ɐ m ɪ s t ɔ
маршрутка	m ɐ r ʃ r u t k ɐ
відстрочити	ʋʲ i d͡z s t r ɔ t͡ʃ e t e
авіапромисловість	ɐ ʋʲ i ɐ p r ɔ m e s ɫ ɔ ʋʲ i sʲ tʲ
інерцією	i n ɛ r t͡sʲ i j e j ʊ
класовий	k ɫ ɑ s ɔ ʋ e i̯
відображати	ʋʲ i d ɔ b r ɐ ʒ ɑ t e
активувати	ɐ k t e w ʊ ʋ ɑ t e
звідси	zʲ ʋʲ i d͡z s e
регулярно	r e ɦ ʊ lʲ ɑ r n ɔ
прийти	p r e i̯ t ɪ
бруднити	b r ʊ d n ɪ t e
заподіяти	z ɐ p o dʲ i j ɐ t e
твої	t w ɔ j i
капітулювати	k ɐ pʲ i t ʊ lʲ ʊ ʋ ɑ t e
австрійський	ɐ u̯ s tʲ rʲ i i̯ sʲ k e i̯
ставлення	s t ɑ u̯ ɫ e nʲː ɐ
типовий	t e p ɔ ʋ e i̯
ваги	ʋ ɐ ɦ ɪ
матеріальний	m ɐ t e rʲ i ɑ lʲ n e i̯
чужина	t͡ʃ ʊ ʒ e n ɑ
школа	ʃ k ɔ ɫ ɐ
шкодити	ʃ k ɔ d e t e
хвіст	x ʋʲ i s t
пропозиціями	p r ɔ p ɔ z ɪ t͡sʲ i j ɐ m e
обладнати	ɔ b ɫ ɐ d n ɑ t e
світ	sʲ ʋʲ i t
націоналістичний	n ɐ t͡sʲ i ɔ n ɐ lʲ i s t ɪ t͡ʃ n e i̯
наймати	n ɐ i̯ m ɑ t e
скидати	s k e d ɑ t e
гідрологія	ɦʲ i d r ɔ ɫ ɔ ɦʲ i j ɐ
чадо	t͡ʃ ɑ d ɔ
міф	mʲ i f
намет	n ɐ m ɛ t
документувати	d ɔ k ʊ m e n t ʊ ʋ ɑ t e
смердіти	s m e r dʲ i t e
егоїстичний	e ɦ ɔ j i s t ɪ t͡ʃ n e i̯
найбільше	n ɐ i̯ bʲ i lʲ ʃ e
греція	ɦ r ɛ t͡sʲ i j ɐ
варіанту	ʋ ɐ rʲ i ɑ n t ʊ
неня	n ɛ nʲ ɐ
крикливий	k r e k ɫ ɪ ʋ e i̯
вільна	ʋʲ i lʲ n ɐ
відокремити	ʋʲ i d ɔ k r ɛ m e t e
румунія	r ʊ m u nʲ i j ɐ
периферія	p e r e f e rʲ i j ɐ
пан	p ɑ n
розгляд	r ɔ z ɦ lʲ ɐ d
зупинка	z ʊ p ɪ n k ɐ
образний	ɔ b r ɐ z n e i̯
вільнодумець	ʋʲ i lʲ n o d u m e t͡sʲ
демократично	d e m ɔ k r ɐ t ɪ t͡ʃ n ɔ
льотчик	lʲ ɔ t͡ʃː e k
туреччина	t ʊ r ɛ t͡ʃː e n ɐ
продолжува	p r ɔ d ɔ ɫ ʒ u v a
нададе	n a d a d ɛ
досади	d ɔ s a d i
киселини	k i s ɛ l i n i
рачуле	r a t͡ʃ u l ɛ
отсуство	ɔ t s u s t v ɔ
ненадарен	n ɛ n a d a ɾ ɛ n
нелиценцирање	n ɛ l i t͡s ɛ n t͡s i ɾ a ɲ ɛ
колови	k ɔ ɫ ɔ v i
анализира	a n a l i z i ɾ a
судбоносен	s u d b ɔ n ɔ s ɛ n
ловор	ɫ ɔ v ɔ r
слабокрвен	s ɫ a b ɔ k r̩ v ɛ n
семиологија	s ɛ m i j ɔ ɫ ɔ ɡ i j a
бесцелен	b ɛ s t͡s ɛ l ɛ n
отплетува	ɔ t p l ɛ t u v a
презентација	p r ɛ z ɛ n t a t͡s i j a
џадиња	d͡ʒ a d i ɲ a
неприменување	n ɛ p r i m ɛ n u v a ɲ ɛ
злосторство	z ɫ ɔ s t ɔ r s t v ɔ
издрибла	i z d r i b ɫ a
немирисање	n ɛ m i r i s a ɲ ɛ
велипеток	v ɛ l i p ɛ t ɔ k
неклиматизиран	n ɛ k l i m a t i z i ɾ a n
печива	p ɛ t͡ʃ i v a
неблокиран	n ɛ b ɫ ɔ k i ɾ a n
драг	d r a k
измиван	i z m i v a n
дадиња	d a d i ɲ a
инкубатори	i ŋ k u b a t ɔ ɾ i
трубен	t r u b ɛ n
кумановка	k u m a n ɔ f k a
оттука	ɔ t t u k a
неактуализирање	n ɛ a k t u a l i z i ɾ a ɲ ɛ
громогласен	ɡ r ɔ m ɔ ɡ ɫ a s ɛ n
норвешки	n ɔ r v ɛ ʃ k i
трапови	t r a p ɔ v i
кошаркар	k ɔ ʃ a r k a r
сврзе	s v r̩ z ɛ
догматизам	d ɔ ɡ m a t i z a m
женствено	ʒ ɛ n s t v ɛ n ɔ
добротворен	d ɔ b r ɔ t v ɔ ɾ ɛ n
хокеист	x ɔ k ɛ i s t
венецуелка	v ɛ n ɛ t͡s u ɛ ɫ k a
близост	b l i z ɔ s t
освестува	ɔ s v ɛ s t u v a
сенкар	s ɛ ŋ k a r
планктон	p ɫ a ŋ k t ɔ n
обезвластување	ɔ b ɛ z v ɫ a s t u v a ɲ ɛ
исполни	i s p ɔ ɫ n i
неиздржан	n ɛ i z d r̩ ʒ a n
незачувување	n ɛ z a t͡ʃ u v u v a ɲ ɛ
пеликански	p ɛ l i k a n s k i
распердашува	r a s p ɛ r d a ʃ u v a
препакување	p r ɛ p a k u v a ɲ ɛ
нокширче	n ɔ k ʃ i r t͡ʃ ɛ
мразулче	m r a z u ɫ t͡ʃ ɛ
стрв	s t r̩ f
специјалец	s p ɛ t͡s i j a l ɛ t͡s
раслојување	r a s ɫ ɔ j u v a ɲ ɛ
целосен	t͡s ɛ ɫ ɔ s ɛ n
аниматор	a n i m a t ɔ r
активација	a k t i v a t͡s i j a
лем	l ɛ m
висина	v i s i n a
мариово	m a r i j ɔ v ɔ
наградуван	n a ɡ r a d u v a n
пруги	p r u ɡ i
легенда	l ɛ ɡ ɛ n d a
пасинок	p a s i n ɔ k
покачува	p ɔ k a t͡ʃ u v a
тиња	t i ɲ a
свилар	s v i ɫ a r
черепен	t͡ʃ ɛ ɾ ɛ p ɛ n
бекнува	b ɛ k n u v a
ризичност	r i z i t͡ʃ n ɔ s t
потполковници	p ɔ t p ɔ ɫ k ɔ v n i t͡s i
срами	s r a m i
свикува	s v i k u v a
измасиран	i z m a s i ɾ a n
непопустливост	n ɛ p ɔ p u s t l i v ɔ s t
чести	t͡ʃ ɛ s t i
воскосува	v ɔ s k ɔ s u v a
избавување	i z b a v u v a ɲ ɛ
попишувач	p ɔ p i ʃ u v a t͡ʃ
неиспилен	n ɛ i s p i l ɛ n
тритомен	t r i t ɔ m ɛ n
кондензација	k ɔ n d ɛ n z a t͡s i j a
збесне	z b ɛ s n ɛ
пороби	p ɔ ɾ ɔ b i
урне	u r n ɛ
п	p ə
омекнување	ɔ m ɛ k n u v a ɲ ɛ
разлошен	r a z ɫ ɔ ʃ ɛ n
дегустаторски	d ɛ ɡ u s t a t ɔ r s k i
изнадаван	i z n a d a v a n
прелетување	p r ɛ l ɛ t u v a ɲ ɛ
подзнак	p ɔ d z n a k
витези	v i t ɛ z i
шеснаес	ʃ ɛ s n a ɛ s
сигурен	s i ɡ u ɾ ɛ n
изнамрчи	i z n a m r̩ t͡ʃ i
контрабасист	k ɔ n t r a b a s i s t
неавтоматизиран	n a f t ɔ m a t i z i ɾ a n
живинарски	ʒ i v i n a r s k i
дотекува	d ɔ t ɛ k u v a
индонезиец	i n d ɔ n ɛ z i j ɛ t͡s
ректално	r ɛ k t a ɫ n ɔ
ретроспективност	r ɛ t r ɔ s p ɛ k t i v n ɔ s t
забушаван	z a b u ʃ a v a
епископски	ɛ p i s k ɔ p s k i
исцелува	i s t͡s ɛ ɫ u v a
иван	i v a n
дочува	d ɔ t͡ʃ u v a
киселински	k i s ɛ l i n s k i
етиопјанка	ɛ t i ɔ p j a ŋ k a
бури	b u ɾ i
змејски	z m ɛ j s k i
чекорење	t͡ʃ ɛ k ɔ ɾ ɛ ɲ ɛ
автостоперка	a f t ɔ s t ɔ p ɛ r k a
угнетување	u ɡ n ɛ t u v a ɲ ɛ
пипање	p i p a ɲ ɛ
снижи	s n i ʒ i
премиериште	p r ɛ m i ɛ ɾ i ʃ t ɛ
обиколи	ɔ b i k ɔ l i
муслиман	m u s l i m a n
копнежливо	k ɔ p n ɛ ʒ l i v ɔ
трговија	t r̩ ɡ ɔ v i j a
саѓа	s a ɟ a
отрови	ɔ t r ɔ v i
вдахнат	v d a x n a t
авиониште	a v i ɔ n i ʃ t ɛ
клукне	k ɫ u k n ɛ
соединување	s ɔ ɛ d i n u v a ɲ ɛ
крофне	k r ɔ f n ɛ
ранчер	r a n t͡ʃ ɛ r
доделкување	d ɔ d ɛ ɫ k u v a ɲ ɛ
смали	s m a l i
вработува	v r a b ɔ t u v a
прајазик	p r a j a z i k
потенцијално	p ɔ t ɛ n t͡s i j a ɫ n ɔ
велешанче	v ɛ l ɛ ʃ a n t͡ʃ ɛ
лицитиран	l i t͡s i t i ɾ a n
необлекување	n ɛ ɔ b l ɛ k u v a ɲ ɛ
тримесечен	t r i m ɛ s ɛ t͡ʃ ɛ n
желатински	ʒ ɛ ɫ a t i n s k i
глобализиран	ɡ ɫ ɔ b a l i z i ɾ a n
превртува	p r ɛ v r̩ t u v a
потпевнување	p ɔ t p ɛ v n u v a ɲ ɛ
шеј	ʃ ɛ j
непоткупливо	n ɛ p ɔ t k u p l i v ɔ
одвртен	ɔ d v r̩ t ɛ n
тросед	t r ɔ s ɛ t
гнасотија	ɡ n a s ɔ t i j a
чизбургер	t͡ʃ i z b u r ɡ ɛ r
ѓонови	ɟ ɔ n ɔ v i
литератури	l i t ɛ ɾ a t u ɾ i
идиотизам	i d i j ɔ t i z a m
непрекинлив	n ɛ p r ɛ k i n l i f
трне	t r̩ n ɛ
хормонално	x ɔ r m ɔ n a ɫ n ɔ
несправедливост	n ɛ s p r a v ɛ d l i v ɔ s t
чорапиште	t͡ʃ ɔ r a p i ʃ t ɛ
раскопчуван	r a s k ɔ p t͡ʃ u v a n
пречкртување	p r ɛ t͡ʃ k r̩ t u v a ɲ ɛ
наменет	n a m ɛ n ɛ t
беспричински	b ɛ s p r i t͡ʃ i n s k i
наврнат	n a v r̩ n a t
светлост	s v ɛ t ɫ ɔ s t
дувла	d u v ɫ a
запиран	z a p i ɾ a n
помодарка	p ɔ m ɔ d a r k a
сеница	s ɛ n i t͡s a
продекански	p r ɔ d ɛ k a n s k i
кориснички	k ɔ r i s n i t͡ʃ k i
папирологија	p a p i ɾ ɔ ɫ ɔ ɡ i j a
неследен	n ɛ s l ɛ d ɛ n
доларче	d ɔ ɫ a r t͡ʃ ɛ
фасцинантен	f a s t͡s i n a n t ɛ n
видливост	v i d l i v ɔ s t
фаланга	f a ɫ a ŋ ɡ a
убацува	u b a t͡s u v a
изумира	i z u m i ɾ a
отрезнување	ɔ t r ɛ z n u v a ɲ ɛ
тротоарче	t r ɔ t ɔ a r t͡ʃ ɛ
дамаски	d a m a s k i
разочара	r a z ɔ t͡ʃ a ɾ a
заврне	z a v r̩ n ɛ
бирање	b i ɾ a ɲ ɛ
кајсиичка	k a j s i i t͡ʃ k a
смачкување	s m a t͡ʃ k u v a ɲ ɛ
гори	ɡ ɔ ɾ i
забучи	z a b u t͡ʃ i
ломе	ɫ ɔ m ɛ
сом	s ɔ m
предупреден	p r ɛ d u p r ɛ d ɛ n
однесуван	ɔ d n ɛ s u v a n
исцртување	i s t͡s r̩ t u v a ɲ ɛ
нетолкување	n ɛ t ɔ ɫ k u v a ɲ ɛ
помодар	p ɔ m ɔ d a r
предјадења	p r ɛ d j a d ɛ ɲ a
трошач	t r ɔ ʃ a t͡ʃ
облее	ɔ b l ɛ ɛ
земјовладение	z ɛ m j ɔ v ɫ a d ɛ n i j ɛ
оморика	ɔ m ɔ ɾ i k a
блесок	b l ɛ s ɔ k
свилари	s v i ɫ a ɾ i
станче	s t a n t͡ʃ ɛ
картографиран	k a r t ɔ ɡ r a f i ɾ a n
манипулиран	m a n i p u l i ɾ a n
соблазни	s ɔ b ɫ a z n i
дообликување	d ɔ ɔ b l i k u v a ɲ ɛ
низина	n i z i n a
предрасположение	p r ɛ d r a s p ɔ ɫ ɔ ʒ ɛ n i j ɛ
имбецили	i m b ɛ t͡s i l i
вентилатори	v ɛ n t i ɫ a t ɔ ɾ i
предвесница	p r ɛ d v ɛ s n i t͡s a
оптимистичност	ɔ p t i m i s t i t͡ʃ n ɔ s t
хараре	x a r a ɾ ɛ
расфрла	r a s f r̩ ɫ a
раскокан	r a s k ɔ k a n
борч	b ɔ r t͡ʃ
издушуван	i z d u ʃ u v a n
доклика	d ɔ k l i k a
кокос	k ɔ k ɔ s
паганки	p a ɡ a ŋ k i
куќичка	k u c i t͡ʃ k a
ледина	l ɛ d i n a
кораб	k ɔ ɾ a p
бодри	b ɔ d r i
изгазен	i z ɡ a z ɛ n
качествен	k a t͡ʃ ɛ s t v ɛ n
ризикуван	r i z i k u v a n
престига	p r ɛ s t i ɡ a
конгоанец	k ɔ ŋ ɡ ɔ a n ɛ t͡s
прпелкање	p r̩ p ɛ ɫ k a ɲ ɛ
дијалошки	d i j a ɫ ɔ ʃ k i
расадува	r a s a d u v a
опортунистка	ɔ p ɔ r t u n i s t k a
писоар	p i s ɔ a r
стомниште	s t ɔ m n i ʃ t ɛ
губитнички	ɡ u b i t n i t͡ʃ k i
шминкан	ʃ m i ŋ k a n
фенирање	f ɛ n i ɾ a ɲ ɛ
кити	k i t i
делчевски	d ɛ ɫ t͡ʃ ɛ f s k i
доуредуван	d ɔ u r ɛ d u v a n
услов	u s ɫ ɔ f
невосприемање	n ɛ v ɔ s p r i ɛ m a ɲ ɛ
нелуфтирање	n ɛ ɫ u f t i ɾ a ɲ ɛ
надареност	n a d a ɾ ɛ n ɔ s t
транспониран	t r a n s p ɔ n i ɾ a n
неготинец	n ɛ ɡ ɔ t i n ɛ t͡s
константно	k ɔ n s t a n t n ɔ
одвратност	ɔ d v r a t n ɔ s t
парафира	p a ɾ a f i ɾ a
неподмачкување	n ɛ p ɔ d m a t͡ʃ k u v a ɲ ɛ
песочници	p ɛ s ɔ t͡ʃ n i t͡s i
постење	p ɔ s t ɛ ɲ ɛ
глави	ɡ ɫ a v i
шегаџика	ʃ ɛ ɡ a d͡ʒ i k a
хагиографија	x a ɡ i j ɔ ɡ r a f i j a
пердув	p ɛ r d u f
трогателно	t r ɔ ɡ a t ɛ ɫ n ɔ
пури	p u ɾ i
неиспупчен	n ɛ i s p u p t͡ʃ ɛ n
доразгледување	d ɔ ɾ a z ɡ l ɛ d u v a ɲ ɛ
трореден	t r ɔ ɾ ɛ d ɛ n
бујност	b u j n ɔ s t
клепки	k l ɛ p k i
отровница	ɔ t r ɔ v n i t͡s a
лавини	ɫ a v i n i
намалуван	n a m a ɫ u v a n
неготвење	n ɛ ɡ ɔ t v ɛ ɲ ɛ
месно	m ɛ s n ɔ
композиции	k ɔ m p ɔ z i t͡s i i
генерално	ɡ ɛ n ɛ r a ɫ n ɔ
канцероген	k a n t͡s ɛ ɾ ɔ ɡ ɛ n
подмолен	p ɔ d m ɔ l ɛ n
претерување	p r ɛ t ɛ r u v a ɲ ɛ
бескарактерен	b ɛ s k a r a k t ɛ ɾ ɛ n
вокализира	v ɔ k a l i z i ɾ a
дамнешен	d a m n ɛ ʃ ɛ n
камо	k a m ɔ
служење	s ɫ u ʒ ɛ ɲ ɛ
меше	m ɛ ʃ ɛ
клеца	k l ɛ t͡s a
разбуричка	r a z b u ɾ i t͡ʃ k a
помазаница	p ɔ m a z a n i t͡s a
америциум	a m ɛ r i t͡s i j u m
битност	b i t n ɔ s t
девери	d ɛ v ɛ ɾ i
неопоравување	n ɛ ɔ p ɔ ɾ a v u v a ɲ ɛ
пијанка	p i j a ŋ k a
сипаници	s i p a n i t͡s i
антибиотички	a n t i b i ɔ t i t͡ʃ k i
вденуван	v d ɛ n u v a n
одбегнување	ɔ d b ɛ ɡ n u v a ɲ ɛ
летаргија	l ɛ t a r ɡ i j a
испохефта	i s p ɔ x ɛ f t a
крштеница	k r̩ ʃ t ɛ n i t͡s a
дипломски	d i p ɫ ɔ m s k i
расположено	r a s p ɔ ɫ ɔ ʒ ɛ n ɔ
бифокален	b i f ɔ k a l ɛ n
раженче	r a ʒ ɛ n t͡ʃ ɛ
целивање	t͡s ɛ l i v a ɲ ɛ
азили	a z i l i
ортак	ɔ r t a k
штипалки	ʃ t i p a ɫ k i
изјазен	i z j a z ɛ n
одраз	ɔ d r a s
неред	n ɛ ɾ ɛ t
превезен	p r ɛ v ɛ z ɛ n
флуиден	f ɫ u i d ɛ n
комбенце	k ɔ m b ɛ n t͡s ɛ
поофка	p ɔ ɔ f k a
