देवनागरी	d̪eʋnɑɡɑri
दमार	d̪ʌmaːɾ
डिपोट	ɖipoʊʈ
पुच्छर	pʊt͡ʃʰʌɾ
जटित	d͡ʒʌʈit̪
मई	maːi
आलस्य	aːlʌsjʌ
कलाकारिता	kʌlaːkaːɾit̪aː
प्राविधिक	pɾaːʋid̪ʰik
गफ	ɡʌpʰ
मेसिन	meːsin
पुरुष	pʊɾʊʃ
कस्कुटो	kʌskʊʈo
बित्थै	bit̪ʰaːi
छपछप	t͡ʃʌpʌt͡ʃʌp
पटटट	pʌʈʌʈʌʈ
बुरुण्डी	bʊɾʊɳɖiː
गिरावट	ɡiɾaːʋʌʈ

    अत्रि	ʌ t̪ r i
मायादेवी	m ä j ä d̪ e b i
किर्नु	k i r n u
देवेन्द्र	d̪ e b e n̪ d̪ r ʌ
राजश्व	r ä d͡ʒ ʃ ʋ ʌ
लेखपढ	l e kʰ ʌ p ʌ ɖʱ
आउरे	ä ʌ u r e
चम्के	t͡ʃ ʌ m k e
अनुच्चार्य	ʌ n u t͡ʃ t͡ʃ ä r j ʌ
कपोत	k ʌ p o t̪
खोइरो	kʰ o i r o
मेसिन	m e s i n
छोप	t͡ʃʰ o p
साङ्लो	s ä ŋ l o
उँधो	u ŋ d̪ʱ o
अडभङ्ग्याहा	ʌ ɖʱ ʌ ŋ g j ä ɦ ä
उपलब्धता	u p ʌ l ʌ b d̪ʱ ʌ t̪ ä
अकलगुम	ʌ k ʌ l ʌ g u m
जटित	d͡ʒ ʌ t̪ i t̪
कौवाली	k ʌ u ʋ ä l i
नङ्ग्याउ	n ʌ ŋ g j ä u
खन	kʰ ʌ n
टेस्ट	ʈ e s ʈ
बिसौनी	b i s ʌ u n i
दातृसंस्था	d̪ ä t̪ r s ʌ n s t̪ʰ ä
माइक्रोप्रोसेसर	m ä i k r o p r o s e s ʌ r
हुँदो	ɦ u ŋ d̪ o
च्यापु	t͡ʃ j ä p u
निधार	n i d̪ʱ ä r
फगटो	pʰ ʌ g ʌ ʈ o
पिरपिर	p i r p i r
खराखर	kʰ ʌ r ä kʰ ʌ r
पोखरी	p o kʰ ʌ r i
मुलुक	m u l u k
चरित्रप्रधान	t͡ʃ ʌ r i t̪ r ʌ p r ʌ d̪ʱ ä n
फुलिस्केप	pʰ u l i s k e p
चाणक्य	t͡ʃ ä n̪ ʌ k j ʌ
फुट	pʰ u ʈ
अछापे	ʌ t͡ʃʰ ä p e
पहिचान्	p ʌ ɦ i t͡ʃ ä n
बनेपा	b ʌ n e p ä
प्रमाणपत्र	p r ʌ m ä n̪ ʌ p ʌ t̪ r ʌ
तरक्की	t̪ ʌ r k k i
उम्र	u m r ʌ
नब्बे	n ʌ b b e
जफत	d͡ʒ ʌ pʰ ʌ t̪
मुख्यालय	m u kʰ j ä l ä j ʌ
दापा	d̪ ä p ä
फारु	pʰ ä r u
आगा	ä ʌ g ä
काती	k ɑː t iː
प्रोत्साहन	p ɾ oː t s ɑː h ʌ n
कनकर्नु	k ʌ n ʌ k ʌ ɾ n uː
जत्ति	ʤ ʌ t t iː
हल्ट	h ʌ l ʈ
वीर	ʋ iː ɾ
धर्ता	dʱ ʌ ɾ t ɑː
टेण्डर	ʈ eː ɳ ʈ ʌ ɾ
ढ्याम्म	ɖʱ j ɑː m m
ल्वापल्वापती	l ʋ ɑː p l ʋ ɑː p ʌ t iː
इट	iː ʈ
गगन	ɡ ʌ ɡ ʌ n
वृत्त	ʋ ɾ ɪ t t
जप्	ʤ ʌ p
पिठ्युँ	p iː ʈʰ j ũ
प्रावधान	p ɾ ɑː ʋ ʌ dʱ ɑː n
अङ्गीकृत	ʌ ŋ ɡ iː k ɾ ɪ t
तुरी	t uː ɾ iː
कूटस्थ	k uː ʈ ʌ s tʰ
मनोविज्ञान	m ʌ n oː ʋ iː ʤ ɲ ɑː n
गबुल्लो	ɡ ʌ b uː l l oː
लाजवती	l ɑː ʤ ʌ ʋ ʌ t iː
लुटि	l uː ʈ iː
फस्क	pʰ ʌ s k
खुकुलो	kʰ uː k uː l oː
अकुलाउ	ʌ k uː l ɑː uː
खस्क	kʰ ʌ s k
ओइरि	oː iː ɾ iː
हुस्सु	h uː s s uː
अपहरणकारी	ʌ p ʌ h ʌ ɾ ʌ ɳ k ɑː ɾ iː
अधीन	ʌ dʱ iː n
उल्था	uː l tʰ ɑː
मुख	m uː kʰ
इस्लामावाद	iː s l ɑː m ɑː ʋ ɑː d
खान्की	kʰ ɑː n k iː
ईसाइ	iː s ɑː iː
ऐन	ʌ iː n
आम्खोरा	ɑː m kʰ oː ɾ ɑː
अनुलोम	ʌ n uː l oː m
चालामाला	t͡ʃ ɑː l ɑː m ɑː l ɑː
अमलबाज	ʌ m ʌ l b ɑː ʤ
हुत्त	h uː t t
नरसंहार	n ʌ ɾ s ʌ̃ h ɑː ɾ
घनटाउके	ɡʱ ʌ n ʈ ɑː uː k eː
त्रिवेणी	t ɾ iː ʋ eː ɳ iː
साइनो	s ɑː iː n oː
परापूर्व	p ʌ ɾ ɑː p uː ɾ ʋ
लफन्धर	l ʌ pʰ ʌ n dʱ ʌ ɾ
रूहु	ɾ uː h uː
खाद्यपदार्थ	kʰ ɑː d j ʌ p ʌ d ɑː ɾ tʰ
घाँस	ɡʱ ä̃ s
शोधपत्र	ʃ o d̪ʱ pʌ t̪ r
ऐँचाताना	ɛ̃ t͡ʃ ä t̪ ä n ä
जिक्री	d͡ʒ i k r i
लोति	l o t̪ i
उपास्य	u p ä s j ʌ
कुशलता	k u ʃ ʌ l t̪ ä
अपरूप	ʌ p ʌ r u p
ओदान	o d ä n
एकस्व	e k ʌ s w
घुँगुर्कि	ɡʱ ũ ɡ u r k i
साँढी	s ä̃ ɖʱ i
वारुणयन्त्र	w ä r u ɳ j ʌ n t̪ r
लत्ताकपडा	l ʌ t̪ t̪ ä k ʌ p ɖ ä
सारथि	s ä r ʌ t̪ʱ i
चौरस	t͡ʃ ɔ r ʌ s
तार्	t̪ ä r
घोलुवा	ɡʱ o l u w ä
पम्फा	p ʌ m pʰ ä
अन्तरविरोध	ʌ n t̪ ʌ r w i r o d̪ʱ
बेकाम	b e k ä m
धादिङ	d̪ʱ ä d̪ i ŋ
छलक्क	t͡ʃʰ ʌ l ʌ k̚ k̚
मार्फत	m ä r pʰ ʌ t̪
प्लेकार्ड	p l e k ä r d̪
ल्वात्त	l w ä t̪ t̪
ढिलो	ɖʱ i l o
आदर्शवादी	ä d̪ ʌ r ʃ w ä d̪ i
तन्नेरी	t̪ ʌ n n e r i
कार्बन	k ä r b ʌ n
नरसंहार	n ʌ r ʌ s ʌ̃ ɦ ä r
कराई	k ʌ r ä i
निदाल	n i d ä l
पटि	p ʌ t̪ i
गजधम्म	ɡ ʌ d͡ʒ ʌ d̪ʱ ʌ m
सन्तानब्बे	s ʌ n t̪ ä n ʌ b b e
सन्तति	s ʌ n t̪ ʌ t̪ i
हलेदो	ɦ ʌ l e d̪ o
एकगेडे	e k ʌ ɡ e ɖ e
कढी	k ʌ ɖʱ i
मोज	m o d͡ʒ
फिसिक्क	pʰ i s i k̚ k̚
सङ्ग्रह	s ʌ ŋ ɡ r ʌ ɦ
उपक्षेत्रीय	u p ʌ kʃ e t̪ r i j ʌ
मालिङ्गो	m ä l i ŋ ɡ o
कोटे	k o t̪ e
हडबडी	ɦ ʌ ɖ ʌ b ʌ d̪ i
मात्रृभाषा	m ä t̪ r u bʱ ä ʃ ä
रे	r e
नेशनल	n e ʃ ʌ n ʌ l
जनतन्त्र	ʤ ʌ n ʌ t̪ ʌ n t̪ r
पोत्	p o t̪
हलुवाबेत	ɦ ʌ l u w ä b e t̪
जङ्गम	ʤ ʌ ŋ ɡ ʌ m
त्रियाकलाप	t̪ r i j ä k ʌ l ä p
अपहरणकारी	ʌ p ʌ ɦ ʌ r ʌ n k ä r i
झेल्	ʤ e l
पाकेट	p ä k e t̪
यता	j ʌ t̪ ä
खुलुल्ल	kʰ u l u l l
नपुङ्सक	n ʌ p u ŋ s ʌ k
डाँडाकाँडा	ɖ ä̃ ɖ ä k ä̃ ɖ ä
सृजनशीलता	s r ʌ ʤ ʌ n ʃ i l ʌ t̪ ä
दस्तखत	d ʌ s t̪ ʌ kʰ ʌ t̪
विश्वबैँक	b i ʃ w ʌ b ä̃ k
कुचुर्कि	k u t͡ʃ u r k i
उन्	u n
सिधिया	s i ɖʱ i j ä
प्रति	p r ʌ t̪ i
घृणास्पद	ɡʱ r ʌ ɳ ä s p ʌ d
तलेजु	t̪ ʌ l e ʤ u
तीस	t̪ i s
गोल्छा	ɡ o l t͡ʃʰ ä
दापा	d ä p ä
महासेनानी	m ʌ ɦ ä s e n ä n i
व्यन्जन	b j ʌ n ʤ ʌ n
उल्था	u l t̪ʰ ä
ढक	ɖʱ ʌ k
वाग्दान	b ä ɡ̞ d ä n
आख्यायक	ä kʰ j ä j ʌ k
दवाब	d ʌ w ä b
कलाकारिता	k ʌ l ä k ä r i t̪ ä
थ्वाप्प	t̪ʰ w ä p p
दोमट	d o m ʌ t̪
आल्मारी	ä l m ä r i
खिपुवा	kʰ i p u w ä
रातारात	r ä t̪ ä r ä t̪
रसायन	r ʌ s ä j ʌ n
अन्यथा	ʌ n j ʌ t̪ʰ ä
मार्फत	m ä r pʰ ʌ t̪
दामल१	d ä m ʌ l 1
गमनीय	ɡ ʌ m ʌ n i j
ढाँड	ɖʱ ä̃ ɖ
गृहस्थ	ɡ r ʌ ɦ ʌ s t̪ʰ
समाचारदाता	s ʌ m ä t͡ʃ ä r d ä t̪ ä
देखादेख	d e kʰ ä d e kʰ
चिन्ताकुल	t͡ʃ i n t̪ ä k u l
लेखक	l e kʰ ʌ k
अदलबदल	ʌ d ʌ l b ʌ d ʌ l
किस्मती	k i s m ʌ t̪ i
हकदार	ɦʌkd̪ɑːr
कोदो	kodo
वस्तुत:	vʌstut
झुत्रेझाम्रे	d͡zʱutrɛd͡zʱɑːmrɛ
दर्पण	d̪ʌrpʌɳ
बेमज्जा	bɛmʌd͡zʱʌ
अनित्य	ʌnitjʌ
रुगरुगी	rugrugɪ
प्रजा	prʌd͡zʱɑː
लेखक	lɛkhʌk
रोकाया	rokɑːjʌ
इच्छापत्र	icchɑːpʌtr
समरजङ्ग	sʌmʌrjʌŋg
उम्त्याहा	umtjɑːhɑː
जैरे	d͡zʱɑːirɛ
चलन	t͡ʃʌlʌn
देवालय	d̪ɛvɑːlʌj
जेल	d͡zʱɛl
क्यालेन्डर	kjɑːlɛnd̪ʌr
अभिज्ञान	ʌbʱid͡zʱɲɑːn
हरेस	ɦʌrɛs
आधुनिक	ɑːd̪ʱunik
आविष्कारक	ɑːviʃkɑːrʌk
सहज	sʌɦʌd͡zʱ
किरणपुञ्ज	kirʌɳpuɲd͡zʱ
घण्टी	ɡʱʌɳʈiː
अनुगृहीत	ʌnugriːɦiːt
लुगा	lugɑː
टेबल	ʈɛbʌl
गदा	gʌd̪ɑː
बासिन्दा	bɑːsind̪ɑː
बनेल	bʌnɛl
घुँक्क	ɡʱʌ̃kk
साढु	sɑːd̪ʱu
राष्ट्रबैँक	rɑːʃʈrʌbɑ̃k
भरमग्दुर	bʱʌrmʌgd̪ur
छुल्क	t͡ʃʰulk
फुटबल	fuʈbʌl
एकेक	ɛkɛk
लाजवती	lɑːd͡zʱʌtiː
पालनपोषण	pɑːlʌnpɔːʂʌɳ
ढकमक्क	ɖʌkmʌkk
सारांश	sɑːrɑːnʃ
केटाकेटी	kɛʈɑːkɛʈiː
कुटुम्ब	kuʈumb
सुदूरपश्चिमाञ्चल	sud̪uːrpʌʃt͡ʃimɑːɲt͡ʃʌl
उल्लेखनीय	ullɛkhʌniːjʌ
ज्यादै	d͡zʱjɑːd̪ɑːi
संसाधन	sʌ̃sɑːd̪ʱʌn
दनुवार	d̪ʌnuvɑːr
खलनायक	kʰʌlʌnɑːjʌk
रोजगार	rɔːd͡ʒgɑːr
कुच्चे	kʊt͡ʃt͡ʃe
ढाक्रे	ɖʱɑːkre
अंशदान	ʌ̃ʃdɑːn
कमेन्ट	kʌment
अपेक्षणीय	ʌpekʃʌɳiːjʌ
कन्	kʌn
मान्धाता	mɑːndʱɑːtʌ
चौतारिलो	t͡ʃɔːtɑːrilɔː
सुइँकुच्चा	sʊĩkʊt͡ʃt͡ʃɑː
खौलि	kʰɔːli
जटित	d͡ʒʌʈit
गुठी	gʊʈʰiː
जङ्‍घा	d͡ʒʌŋɡʱɑː
डबल	ɖʌbʌl
चर्क	t͡ʃʌrk
सुरुआत	sʊruɑːt
लुँदो	lʊ̃dɔː
चेप्	t͡ʃep
अप्रेशन	ʌpreʃʌn
कथा	kʌtʰɑː
छपन	t͡ʃʰʌpʌn
क्रमबद्ध	krmʌbʌdʱ
बेइमानी	beɪmɑːniː
विपक्षी	bipʌkʃiː
तीव्रता	tiːbrtɑː
रघुवीर	rʌɡʱʊbiːr
सिनेमा	sineːmɑː
सेनानी	senɑːniː
हडबडी	ɦʌɖbʌɖiː
औदुम्बर	ɔːdʊmbʌr
ऊढ	uːɖʱ
कलाकारिता	kʌlɑːkɑːritʌ
अपस्मार	ʌpsmɑːr
आस्वादक	ɑːswɑːdʌk
शुक्र	ʃʊkr
कप्तान	kʌptɑːn
निम्की	nimkiː
पराल	pʌrɑːl
जबरजस्ती	d͡ʒʌbrd͡ʒʌstiː
विषाद	biʃɑːd
उल्लसित	ʊllʌsit
जगर्सेठ	d͡ʒʌɡʌrsetʰ
पुतली	pʊtʌliː
च्यान्टो	t͡ʃjɑːnʈɔː
सिँगारु	sĩɡɑːru
साध्या	sɑːdʱjɑː
अश्रान्त	ʌʃrɑːnt
उपद्र्याहा	ʊpdʌrjɑːhɑː
कहीं	k ʌ h ĩ
छ्‌वात्लाङ्ङ	t͡ʃʰ w ɑ t̪ l ɑ ŋ ŋ
सबथोक	s ʌ b ʌ t̪ʰ o k
त्रिहत्तर	t̪ r i h ʌ t̪ t̪ ʌ r
ट्रेडिङ	ʈ r e d i ŋ
आङ्ग्ल	ɑ ŋ ɡ l
समाह्‍वान	s ʌ m ɑ h w ɑ n
रिसोर्ट	r i s o r ʈ
सुमित्रा	s u m i t̪ r ɑ
मस्यौदा	m ʌ s j ɔ u d ɑ
एकतन्त्रवादी	e k ʌ t̪ ʌ n t̪ r ʌ b ɑ d i
सुट्ट	s u ʈ ʈ
सजीव	s ʌ d͡ʒ i b
हर	h ʌ r
सितमणि	s i t̪ ʌ m ʌ ɳ i
खोजी	kʰ o d͡ʒ i
गनगनाहट	ɡ ʌ n ɡ ʌ n ɑ h ʈ
फुकुन्डो	pʰ u k u n ɖ o
छप्प	t͡ʃʰ ʌ p p
ज्ञापयिता	d͡ʒ ɲ ɑ p ʌ j i t̪ ɑ
चेप्	t͡ʃ e p
ठूली	ʈʰ u l i
प्रभात	p r ʌ bʱ ɑ t̪
सम्मेलन	s ʌ m m e l ʌ n
सम्झौतापत्र	s ʌ m d͡ʒʱ ɔ u t̪ ɑ p ʌ t̪ r
आयुर्वेदीय	ɑ j u r b e d i j
धारणा	dʱ ɑ r ʌ n ɑ
डगमग	ɖ ʌ ɡ m ʌ ɡ
कर्कट	k ʌ r k ʌ ʈ
उपास्य	u p ɑ s j
पद	p ʌ d
बहिष्कार	b ʌ h i ʂ k ɑ r
डोलाउ	ɖ o l ɑ u
मन्जन	m ʌ n d͡ʒ ʌ n
प्रसिद्धि	p r ʌ s i dʱ i
सवारी	s ʌ b ɑ r i
झुर्र	d͡ʒʱ u r r
टाई	ʈ ɑ i
चेहरा	t͡ʃ e h ʌ r ɑ
जिप्टो	d͡ʒ i p ʈ o
सेक्स	s e k s
भूउपग्रह	bʱ u u p ʌ ɡ r ʌ h
बेहुली	b e h u l i
सत्तारुढ	s ʌ t̪ t̪ ɑ r u ɖʱ
ऊर्ध्वगामी	u r dʱ b ʌ ɡ ɑ m i
पछितो	p ʌ t͡ʃʰ i t̪ o
ठूलाबडा	ʈʰ u l ɑ b ʌ ɖ ɑ
पचपची	p ʌ t͡ʃ p ʌ t͡ʃ i
निकासी	n i k ɑ s i
टेबल	ʈ e b ʌ l
सिँगार	s i ŋ ɡ a r
लिपपोत	l i p ə p o t
उपमान	u p m a n
उर्लिंदो	u r l i n d o
खोप्रो	kʰ o p r o
हाँक्	ɦ ã k
बत्ती	b ə t t i
महिष	m ə ɦ i ʂ
क्लीब	k l i b
उच्च	u t͡ʃ t͡ʃ
ताल्चा	t a l t͡ʃ a
शहर	ʃ ə ɦ ə r
फेट्	pʰ e t
करणीय	k ə r ə n i j ə
कर्‌याम्म	k ə r j a m m
लोकप्रियता	l o k ə p r i j ə t a
राजकुल	r a d͡ʒ k u l
ठमेल	ʈʰ ə m e l
हरफ	ɦ ə r ə pʰ
कुच्चि	k u t͡ʃ t͡ʃ i
सेरा	s e r a
वाक्यविश्लेषण	v a k j ə v i ʃ l e ʂ ə n
भविष्यवाणी	b ə v i ʂ j ə v a n i
कोबी	k o b i
मूल	m u l
आराम	a r a m
बिजुवा	b i d͡ʒ u v a
तरफ	t ə r ə pʰ
आक्षेपक	a k ʂ e p ə k
अनौठोपन	a n o ʈʰ o p ə n
मीठो	m i ʈʰ o
ऊँचो	ũ t͡ʃ o
दुख्	d u kʰ
वीरेन्द्रनगर	v i r e n d r ə n ə ɡ ə r
लाथ्रो	l a ʈʰ r o
खोसेल्	kʰ o s e l
गोजी	ɡ o d͡ʒ i
भगवान	b ə ɡ ə v a n
पाछ्	p a t͡ʃʰ
मुगलान	m u ɡ ə l a n
अमौलिक	a m o l i k
भक्खर	b ə kʰ ə r
अडाउ	a ɖ a u
निजीक्षेत्र	n i d͡ʒ i k ʂ e t r
यान	j a n
किम्बु	k i m b u
हगनगौँडी	ɦ ə ɡ ə n ə ɡ ã ɖ i
वृत्तान्त	v r i t t a n t
टुङ्‍ना	ʈ u ŋ n a
गणेशपुर	ɡ ə n e ʃ ə p u r
फकिर	phakir
सुअवसर	suʌvasar
वनस्पतिशास्त्र	vanaspatiʃastr
आरोप्य	aropj
नक्साल	naksal
नेवार	nevar
नैकाप	naikap
जेतेमेते	jetemete
हाइकु	haiku
हिचकिचाउ	hicakicau
मिल्नु	milnu
पुरेत	puret
दामल१	damal1
पुछार	pucar
बाहु	bahu
भाषण	bhaʃan
बढुवा	baduva
दिशाकुञ्जी	diʃakunji
अहिंस्रक	ahinsrak
छुताहा	cutaha
खरो	kharo
छ्याट्ट	cyatt
डाइनी	daini
वीरगति	virgati
म्याउँ	mjau
बोतो	boto
ब्रह्मा	brahma
गँगरि	gangari
सियाँल	sijal
नेमकिपा	nemkipa
सन्चालन	sancalan
हर्सा	harsa
सिधेनुन	sidenun
गम्भीरता	gambhirata
वनदेवी	vanadevi
रसिद	rasid
जिल	jil
कामधेनु	kamadhenu
अफिम	afim
मध्यनजर	madhjanajar
सोध्	sodh
एकसट्ठी	ekasatthi
चैत्र	citra
एकेक	ekek
अराउ	arau
पृथकता	prithakata
छोप	chop
महाराणा	maharana
अन्तर्ध्वंस	antardhvans
मेधा	medha
वृत्त	v ɾ ɪ t t
घर्ती	ɡʱ ɾ t i
झट्टपट्ट	d͡zʱ ʌ t t ʌ p ʌ t t
आइडल	ɑː i d l
उदाराशय	u d ɑː r ɑː ʃ ʌ j
क्याल्सीयम	k j ɑː l s iː j ʌ m
घडघडे	ɡʱ ʌ d ɡʱ ʌ d e
निदाल	n i d ɑː l
कपासे	k ʌ p ɑː s e
बुकुरा	b u k u r ɑː
छात्रछात्रा	t͡ʃʰ ɑː t r t͡ʃʰ ɑː t r ɑː
चित्रमाला	t͡ʃ i t r m ɑː l ɑː
ड्वाङ्ग्राङ्ङ	ɖʋ ɑː ŋ ɡ r ɑː ŋ ŋ
आनन्दित	ɑː n ʌ n d i t
हिस्सादार	ɦ i s s ɑː d ɑː r
भाकभुक	bʱ ɑː k bʱ u k
अञ्चल	ʌ ɲ t͡ʃ ʌ l
पिताजी	p i t ɑː d͡ʒ iː
भुज	bʱ u d͡ʒ
आदिवासी	ɑː d i v ɑː s iː
निम्की	n i m k iː
च्याँख्ला	t͡ʃ j ɑː ŋ kʰ l ɑː
खाका	kʰ ɑː k ɑː
विकराल	v i k ʌ r ɑː l
एकराते	e k ʌ r ɑː t e
पार्षद	p ɑː r ʃ ʌ d
डवल	ɖ ʌ v ʌ l
आशिष	ɑː ʃ i ʃ
दापा	d ɑː p ɑː
गहते	ɡ ʌ ɦ ʌ t e
जिल्ला	d͡ʒ i l l ɑː
सङ्गीन	s ʌ ŋ g iː n
टेस्ट	ʈ e s ʈ
ओल्ट	o l ʈ
जाँते	d͡ʒ ɑː ŋ t e
आयासकर	ɑː j ɑː s ʌ k ʌ r
दमार	d ʌ m ɑː r
रुप	r u p
कोपिला	k o p i l ɑː
उच्छिन्न	u t͡ʃʰ i n n
भ्रष्टाचार	bʱ r ʌ ʃ ʈ ɑː t͡ʃ ɑː r
अनुन्नत	ʌ n u n n ʌ t
ताली	t ɑː l iː
रोप्	r o p
सिधार्	s i dʱ ɑː r
सानदार	s ɑː n ʌ d ɑː r
झलझल	d͡zʱ ʌ l d͡zʱ ʌ l
अन्भ	ʌ n bʱ
पुलुपुलु	p u l u p u l u
अठहत्तर	ʌ ʈʰ ʌ ɦ ʌ t t ʌ r

    कैदखाना	k aɪ d ə kʰ aː n aː
हर्कबहादुर	h ə r k ə b ə h aː d u r
भारा	bʱ aː r aː
बटुको	b ə ʈ u k o
खारि	kʰ aː r i
ओसि	o s i
ठकठकी	ʈʰ ə k ʈʰ ə k iː
गुणहीन	g u ɳ ə h iː n
लम्मि	l ə m m i
बालाजु	b aː l aː ʤ u
चमचम	t͡ʃ ə m t͡ʃ ə m
कागुनु	k aː g u n u
ज्याम्तो	ʤ j aː m t o
एकत्र	e k ə t r
सालसुल	s aː l s u l
पम्फा	p ə m pʰ aː
अल्पमत	ə l p ə m ə t
मरमरम्मत	m ə r m ə r m ə t
ह्याउ	h j aː u
अङ्खोरा	ə ŋ kʰ o r aː
आँच	aː ɳ t͡ʃ
बोर्डर	b o r ɖ ə r
न्यातपोल	n j aː t ə p o l
कोर्याककोर्याक	k o r j aː k k o r j aː k
अश्रान्त	ə ʃ r aː n t
अतुलनीय	ə t u l n iː j
ज्यास्ता	ʤ j aː s t aː
म्याट्रिक्स	m j aː ʈ r i k s
क्लीब	k l iː b
राजनीति	r aː ʤ n iː t i
दुख्	d u kʰ
कायस्थ	k aː j ə s tʰ
उदीयमान	u d iː j m aː n
आपत	aː p ə t
चुभुर्कि	t͡ʃ u bʱ u r k i
डब्बा	ɖ ə b b aː
हाँगो	h aː ŋ g o
कनकर्नु	k ə n ə k ə r n u
थाम्	tʰ aː m
महतो	m ə h ə t o
अठबा	ə ʈʰ b aː
विशेषण	v i ʃ eː ʂ ə ɳ
टाटा	ʈ aː ʈ aː
जागा	ʤ aː g aː
अनृतवादी	ə n r ɪ t ə v aː d iː
कखौतो	k ə kʰ oʊ t o
वाहवाह	v aː h v aː h
जुनाफ	ʤ u n aː f
क्यापिटल	k j aː p i t ə l
र्‍याल	r j aː l
झाडी	ʤʱɑːɖiː
सप्लाइ	sʌplɑːi
डेरी	ɖeːriː
धूवाँ	ɖʱuːʋɑ̃ː
खोर्‍याउ	kʰoːrjɑːu
बर्मा	bʌrmɑː
भारा	bʱɑːrɑː
खकाल्	kʰʌkɑːl
मसौदा	mʌsɔːdɑː
देखावटी	ɖeːkʰɑːʋʌʈiː
अनुशासित	ʌnʊʃɑːsɪt
एकाह	eːkɑːh
मनसाय	mʌnʌsɑːj
झ्याप्प	ʤʱjɑːpp
कमर्स	kʌmʌrs
अन्तर्त्वचा	ʌntʌrtʋʌtʃɑː
अलौकिक	ʌlɔːkɪk
जाग्राम	ʤɑːgrɑːm
कटाहा	kʌʈɑːhɑː
हिर्काइ	hɪrkɑːi
नागार्जुन	nɑːgɑːrʤʊn
चुरुक्क	tʃʊrʊkk
छलक्क	tʃʰʌlkk
सिँङार	sĩŋɑːr
टक्‍कर	ʈʌkkʌr
डाँड्	ɖɑ̃ːɖ
समाजसेवा	sʌmɑːʤseːʋɑː
फ्वाँक्क	phʋɑ̃ːkk
खराब	kʰʌrɑːb
झिँगटो	ʤʱĩgʌʈoː
पेटिका	pʰeːʈɪkɑː
रुपी	rʊpiː
फतरि	phʌtʌri
धनञ्जय	ɖʱʌnʌɲʤʌj
हलेदो	hʌleːdoː
छलछलती	tʃʰʌltʃʰʌltiː
तौलसमूह	tɔːlsʌmuːh
अर्बुद	ʌrbʊd
नेवार	neːʋɑːr
होमियोपेथी	hoːmijoːpeːtʰiː
घ्न	ɡʱn
सरदार	sʌrdɑːr
ह्वालालाला	hʋɑːlɑːlɑːlɑː
रुक्मिणी	rʊkmɪɳiː
पजेरो	pʌʤeːroː
डिट्ठा	ɖiːʈʰɑː
पट्याउ	pʌʈjɑːu
प्रार्थना	prɑːrʈʰnɑː
कम्ती	kʌmtiː
एकतन्त्रवादी	eːkʌtʌnʈrʋɑːdiː
उच्छेदन	u t͡ʃʰ e d̪ ʌ n
खन्चुरो	kʰ ʌ n t͡ʃ u r o
पिरीपिरी	p i r i p i r i
हाल्लहुल्ल	ɦ ä l l ʌ ɦ u l l ʌ
बढ्	b ʌ d̪ʱ
उत्केन्द्र	u t̪ k e n d̪ r ʌ
विनोदकुमार	b i n o d̪ ʌ k u m ä r
भाक्	bʱ ä k
गुरुपाक	ɡ u r u p ä k
जङ्गे	d͡z ʌ ŋ ɡ e
वैरभाव	b a i r ʌ bʱ ä b
सहज	s ʌ ɦ ʌ d͡z
सम्भोग	s ʌ m bʱ o ɡ
भोजपुर	bʱ o d͡z ʌ p u r
रामपुर	r ä m ʌ p u r
छिरबिरे	t͡ʃʰ i r ʌ b i r e
बुर्की	b u r k i
अर्थसिद्धि	ʌ r t̪ʰ ʌ s i d̪ʱ i
इटा	i ʈ ä
परिवहन	p ʌ r i b ʌ ɦ ʌ n
छिनुवा	t͡ʃʰ i n u b ä
बीजाणु	b i d͡z ä ɳ u
खोइरो	kʰ o i r o
समस्या	s ʌ m ʌ s j ä
कत्थक	k ʌ t̪ʰ ʌ k
विजयोत्सव	b i d͡z ʌ j o t̪ s ʌ b
क्रन्दन	k r ʌ n d̪ ʌ n
मतपत्र	m ʌ t̪ ʌ p ʌ t̪ r ʌ
विचलन	b i t͡ʃ ʌ l ʌ n
उपराष्ट्रपति	u p ʌ r ä s̠ t̪ r ʌ p ʌ t̪ i
परपरि	p ʌ r ʌ p ʌ r i
कस्तो	k ʌ s t̪ o
साफा	s ä f ä
कोदो	k o d̪ o
गुहार	ɡ u ɦ ä r
ओल्छि	o l t͡ʃʰ i
पाउडर	p ä u̯ d̪ ʌ r
तोबा	t̪ o b ä
अनपाम्मे	ʌ n ʌ p ä m m e
कज्याउ	k ʌ d͡z j ä u
डल्लेँठो	ɖ ʌ l l ẽ ʈʰ o
चपेटा	t͡ʃ ʌ p e ʈ ä
जडाउ	d͡z ʌ ɖ ä u
सर्वनाम	s ʌ r b ʌ n ä m
भ्वाँक	bʱ ʋ ä̃ k
पिता	p i t̪ ä
विशेषण	b i ʃ e s̠ ʌ n
टेक्	ʈ e k
जेता	d͡z e t̪ ä
चाट्	t͡ʃ ä ʈ
अवतीर्ण	ʌ ʋ ʌ t̪ i r ɳ
सुलसुल	s u l s u l
लोहनी	l o ɦ n i
बटुको	b ʌ ʈ u k o
न्यातपोल	n j ä t̪ p o l
बत्तीस	b ʌ t̪ t̪ i s
झेली	d͡zʱ e l i
ड्रामा	ɖ r ä m ä
संयोजन	s ʌ̃ j o d͡z ʌ n
कन्धनी	k ʌ n̪ d̪ʱ n i
इमारत	i m ä r ʌ t̪
अदलबदल	ʌ d̪ l b ʌ d̪ l
