चपेटा	t͡ʃʌpʌʈʌ
हाइसुक्ख	ɦ ɑː i s u kʰ
पक्राउ	p ʌ k r ɑː u
डफ्फा	ɖ ʌ pʰ ʌ
अदालत	ʌ d ɑː l ʌ t
जत्ति	ʤ ʌ t t iː
ओइरि	o i r i
बहुलाउ	b ʌ ɦ u l ɑː u
माल्टा	m ɑː l ʈ ɑː
होचि	ɦo.t͡ʃi
एक्सप्रेशन	ek.spre.ʃən
फुत्रुक्क	pʰu.tru.kkə
मिजासी	mi.d͡ʒa.si
भ्वाँक	bʱʋãːk
थासो	tʰaː.so
हपाहप	ɦə.paː.ɦəp
अध:पतन	ədʱə.pə.tən
छ्याकन	t͡ʃʰjaː.kən
चेप्रो	t͡ʃe.pro
रेलिङ	re.liŋ
समाजशास्त्र	sə.maːd͡ʒ.ʃaːs.trə
आत्मपरक	aːt.mə.pərək
लिपपोत	li.pə.poʈ
लौका	lau.kaː
छ्याट्ट	t͡ʃʰjaːʈʈ
विष्फोट	ʋiʂ.pʰoʈ
प्राचीनता	praː.t͡ʃiː.nə.taː
ठेट्ना	ʈʰeʈ.naː
अरिनी	ə.ri.niː
कोल्टे	ko.lʈe
कुव्यवहार	ku.ʋjə.ʋə.ɦaːr
मरमरम्मत	mər.mər.mət
प्यारा	pjaː.raː
कसजू	kəs.ə.d͡ʒuː
कार्चोपी	kaːr.t͡ʃo.piː
रामनारायण	raːm.naː.raː.jən
सहृयार्	sə.ɦr.jaːr
प्राची	praː.t͡ʃiː
टुङ्‍ना	ʈuŋ.naː
असहन	ə.sə.ɦən
क्यास्ट्रो	kjaːs.ʈro
उछिनपाछिन	u.t͡ʃi.nə.paː.t͡ʃi.nə
विम्बविधान	ʋim.bə.ʋi.dʱaːn
खोसेल्	kʰo.se.l
प्रवर्तन	prə.ʋər.tən
रुपा	ru.paː
कर्णफूल	kər.nə.pʰuːl
तमोर	tə.mor
गर्माउ	ɡər.maː.u
जर्कट	d͡ʒər.kəʈ
गहते	ɡə.ɦə.te
क्यापिटल	kjaː.pi.ʈəl
जैरे	d͡ʒai.re
एकाउन्ट	e.kaː.unʈ
इच्छुक	i.t͡ʃʰu.kə
रचनाकार	rə.t͡ʃə.naː.kaːr
अनिल	ə.nil
मम	məm
मालश्री	maːl.ʃriː
एकेक	ɛkɛk
हुर्रि	hʊrri
रेडियम	rɛɖijʌm
वर्काइफर्काइ	vʌrkɑːifʌrkɑːi
गिरावट	girɑːvʌʈ
आर्जे	ɑːrjɛ
काटमार	kɑːʈmɑːr
लिपित्त	lipitʈ
उनन्‍तीस	unʌntiːs
कट्टु	kʌʈʈu
भेडो	bʰɛɖo
धानबाली	ɖʰɑːnʌbɑːliː
मन्स	mʌns
बेकाम	bɛkɑːm
चुभुर्कि	t͡ʃʊbʰʊrki
गुलाब	gulɑːb
मापन	mɑːpʌn
आधार	ɑːɖʰɑːr
नैवेद	nɑːivɛd
पहल	pʌhʌl
गोठालो	goʈʰɑːlo
टकराउ	ʈʌkrɑːu
टिलटिलती	ʈilʈilʌtiː
डँड्याउ	ɖʌɳɖjɑːu
सिधेनुन	siɖʰɛnʊn
झुप्पि	ʤʰʊppi
ठूलाबडा	ʈʰuːlɑːbʌɖʌ
नक्साल	nʌksɑːl
कैलाश	kɑːilɑːʃ
डबल	ɖʌbʌl
तड्कारै	tʌɖkɑːrɑːi
लोति	loʈi
रतन	rʌtʌn
चाख	t͡ʃɑːkʰ
भ्यालेन्टाइन	bʰjɑːlɛnʈɑːin
गर्	gʌr
लडे	lʌɖɛ
आहृत	ɑːhʌrt
लाउ	lɑːu
एम्बुलेन्स	ɛmbulɛns
मस्यौदा	mʌsjɑːudʌ
अपसारी	ʌpsɑːriː
उम्त्याहा	ʊmtjɑːhɑː
लोग्नेमानिस	lognɛmɑːnis
झुरो	ʤʰʊro
खलनायक	kʰʌlnɑːjʌk
मेधा	mɛɖʰɑː
आविष्ट	ɑːviʃʈ
उत्तान	ʊttɑːn
छूती	t͡ʃʰuːtiː

    ला	l ä
गृष्म	ɡ r ɪ ʂ m
ऋणदाता	r ɪ ɳ d ɑː t ɑː
बुर्की	b ʊ r k iː
उत्क्रमण	ʊ t k r ʌ m ɳ
अछापे	ʌ t͡ʃʰ ɑː p e
अल्पमत	ʌ l p m ʌ t
खस	kʰ ʌ s
एकराते	e k ʌ r ɑː t e
पटरी	p ʌ ʈ r iː
रसायन	r ʌ s ɑː j ʌ n
दासत्व	d ɑː s ʌ t w
मजनु	m ʌ d͡ʒ n ʊ
बन्जारो	b ʌ n d͡ʒ ɑː r oː
गोठपाला	ɡ oː ʈʰ p ɑː l ɑː
लालसा	l ɑː l s ɑː
जीर्णोद्धार	d͡ʒ iː r ɳ oː dʱ ɑː r
झुरुमुरु	d͡ʒʱ ʊ r ʊ m ʊ r ʊ
ग्वाँचे	ɡ w ɑ̃ː t͡ʃ e
आँच	ɑ̃ː t͡ʃ
गणतन्त्री	ɡ ʌ ɳ ʌ t ʌ n t r iː
भत्कोस	bʱ ʌ t k oː s
चुन्	t͡ʃ ʊ n
झाँगकझुँगल	d͡ʒʱ ɑ̃ː ɡ ʌ k d͡ʒʱ ʊ̃ː ɡ ʌ l
कछार	k ʌ t͡ʃʰ ɑː r
पघार्	p ʌ ɡʱ ɑː r
बिन्ती	b iː n t iː
भुटान	bʱ ʊ ʈ ɑː n
भाम्लो	bʱ ɑː m l oː
सिट्	s iː ʈ
चौतीसौं	t͡ʃ ɔː t iː s ɔ̃ː
ब्रस	b r ʌ s
सन्तति	s ʌ n t ʌ t iː
सेड	s eː ɖ
चिन्ता	t͡ʃ iː n t ɑː
झञ्झावर्णन	d͡ʒʱ ʌ ɲ d͡ʒʱ ɑː w ʌ r ɳ ʌ n
ढैंचा	ɖʱ ɛ̃ː t͡ʃ ɑː
अव्यवस्था	ʌ w j ʌ w ʌ s ʈʰ ɑː
रूहु	r uː h ʊ
ठक्रक्क	ʈʰ ʌ k r ʌ k k
एकेक	eː k eː k
धुनी	dʱ ʊ n iː
पहल	p ʌ ɦ ʌ l
उत्तरदाता	ʊ t t ʌ r d ɑː t ɑː
लोक	l oː k
तपाईँ	t ʌ p ɑː ĩː
द्विज	d w iː d͡ʒ
बढीमालिका	b ʌ ɖʱ iː m ɑː l iː k ɑː
फैसला	pʰ ɛː s ʌ l ɑː
ह्रास	ɦ r ɑː s
जनस्तर	ʤ ʌ n ʌ s t̪ ʌ r
अन्सारी	ʌ n s ä r i
कुण्ठा	k u ɳ ʈʰ ä
धड्	d̪ʱ ʌ ɖ
जर्याक्क	ʤ ʌ r j ä k k
टमटम	ʈ ʌ m ʈ ʌ m
रघुवीर	r ʌ ɡʱ u w i r
तिब्बत	t̪ i b b ʌ t̪
जारीपत्र	ʤ ä r i p ʌ t̪ r
भावक	bʱ ä w ʌ k
बछेडा-बछेडी	b ʌ t͡ʃʰ e ɖ ä - b ʌ t͡ʃʰ e ɖ i
पक्कै	p ʌ k k ä i
महानिर्वाचन	m ʌ ɦ ä n i r w ä t͡ʃʰ ʌ n
आन्दोलन	ä n d̪ o l ʌ n
बस्ताकोटी	b ʌ s t̪ ä k o ʈ i
इञ्जिनियर	i ɲ ʤ i n i j ʌ r
कठ्याङ्ग्रि	k ʌ ʈʰ j ä ŋ ɡ r i
थुर्	ʈʰ u r
हिक्मत	ɦ i k m ʌ t̪
साइनो	s ä i n o
ह्रास	ɦ r ä s
तपेस	t̪ ʌ p e s
छ्याप	t͡ʃʰ j ä p
च्याँसे	t͡ʃ j ä̃ s e
आती	ä t̪ i
सङ्ल	s ʌ ŋ l
आज्ञा	ä ʤ ɲ ä
कन्पारो	k ʌ n p ä r o
माफ	m ä pʰ
सुरेन्द्र	s u r e n d̪ r
कुँडुली	k ũ ɖ u l i
प्रिन्ट	p r i n ʈ
विवश	w i w ʌ s
ट्याङट्याङ	ʈ j ä ŋ ʈ j ä ŋ
अंशुवर्मा	ʌ̃ s u w ʌ r m ä
विष्फोट	w i s pʰ o ʈ
वायुमण्डल	w ä j u m ʌ ɳ ɖ ʌ l
ऋकार	r i k ä r
आराम	ä r ä m
सिधेनुन	s i d̪ʱ e n u n
अविकल	ʌ w i k ʌ l
रोध	r o d̪ʱ
याँ	j ä̃
जन्मदिन	ʤ ʌ n m ʌ d̪ i n
दर्पण	d̪ ʌ r p ʌ ɳ
जप्	ʤ ʌ p
ट्रयाकबल	ʈ r j ä k ʌ b ʌ l
अमलची	ʌ m ʌ l t͡ʃʰ i
तरखर	t̪ ʌ r kʰ ʌ r
आभारी	ä bʱ ä r i

    कन्पारो	k ʌ n p ɑː r o
झडप	d͡zʱ ʌ d̪ p
बुढिया	b u ɖ i j ɑː
र्‌याखर्‌याख	r j ɑː kʰ r j ɑː kʰ
शय्या	ʃ ʌ j j ɑː
बरन्डा	b ʌ r ʌ n ɖ ɑː
सम्मेलन	s ʌ m m e l ʌ n
एन	e n
छठ	t͡sʰ ʌ t̪ʰ
पुकपाक	p u k ʌ p ɑː k
अरुचिकर	ʌ r u t͡ʃ i k ʌ r
टाल	t̪ ɑː l
वीरगति	v iː r ʌ ɡ ʌ t̪ i
यथेच्छ	j ʌ t̪ʰ e t͡ʃʰ
विशालबजार	v i ʃ ɑː l b ʌ d͡z ɑː r
उत्प्लावन	u t̪ p l ɑː v ʌ n
अलेख	ʌ l e kʰ
ल्याफल्याफती	l j ɑː f l j ɑː f t̪ iː
गलसेरा	ɡ ʌ l s e r ɑː
कन्दनी	k ʌ n d ʌ n iː
डोरि	ɖ o r i
अकर्मण्यता	ʌ k ʌ r m ʌ ɳ j ʌ t̪ ɑː
सराप्	s ʌ r ɑː p
आक्रामक	ɑː k r ɑː m ʌ k
उत्तप्त	u t̪ t̪ ʌ p t̪
लोग्नेमानिस	l o ɡ n e m ɑː n i s
आर्ज	ɑː r d͡z
अभिवन्दनीय	ʌ bʱ i v ʌ n d ʌ n iː j ʌ
मात्ति	m ɑː t̪ t̪ i
हल	ɦ ʌ l
ऐन	ɑː i n
अठार	ʌ t̪ʰ ɑː r
मन्दी	m ʌ n d iː
अल्पस्मृति	ʌ l p s m ʌ r t̪ i
तनखा	t̪ ʌ n kʰ ɑː
ज्यामी	d͡z j ɑː m iː
छ्या	t͡sʰ j ɑː
जनतन्त्र	d͡z ʌ n ʌ t̪ ʌ n t̪ r
जुस	d͡z u s
अधिवक्ता	ʌ dʱ i v ʌ k t̪ ɑː
आर्यसमाजी	ɑː r j ʌ s ʌ m ɑː d͡z iː
मुसुक्क	m u s u k k
आङ्ग्ल	ɑː ŋ ɡ l
उघाउ	u ɡʱ ɑː u
भावक	bʱ ɑː v ʌ k
उपचारी	u p ʌ t͡ʃ ɑː r iː
जिबुल्लि	d͡z i b u l l i
श्रेणी	ʃ r e n iː
क्यापिटल	k j ɑː p i t̪ ʌ l
फाराम	f ɑː r ɑː m

    सम्पूर्णता	s ʌ m p u r n t a
टुकटुकती	ʈ u k ʈ u k ʈ i
सहृयार्	s ʌ ɦ r j a r
सुनुवार	s u n u b a r
कर्णफूल	k ʌ r n ʌ f u l
चमचम	t͡ʃ ʌ m t͡ʃ ʌ m
थाल्नी	ʈʰ a l n i
झट्कार्	d͡zʱ ʌ ʈ k a r
खुच्चिङ	kʰ u t͡ʃ t͡ʃ i ŋ
#टकटक्याहा	ʈ ʌ k ʈ ʌ k j a ɦ a
सेप	s e p
चन्दने	t͡ʃ ʌ n d ʌ n e
लटपट	l ʌ ʈ p ʌ ʈ
गिर्खा	ɡ i r kʰ a
अनार्य	ʌ n a r j
विदुर	b i d u r
कागत	k a ɡ ʌ t
वहि:	b ʌ ɦ i
साँढी	s a ɳ ʈʰ i
पुस्टाउ	p u s ʈ a u
भाक्	bʱ a k
गर्माउ	ɡ ʌ r m a u
घनश्याम	ɡʱ ʌ n ʃ j a m
पावरनाथ	p a b ʌ r n a ʈʰ
कम्बल	k ʌ m b ʌ l
होचि	ɦ o t͡ʃ i
संपादन	s ʌ m p a d ʌ n
माफ	m a f
प्रेमकथा	p r e m k ʌ ʈʰ a
चक्क	t͡ʃ ʌ k k
जहडी	d͡z ʌ ɦ ʌ d i
उत्पीडन	u t p i ʈ ʌ n
अनुसूचक	ʌ n u s u t͡ʃ ʌ k
भरभित्तो	bʱ ʌ r bʱ i t ʈ o
निजगढ	n i d͡z ʌ ɡ ʌ ʈʰ
लिखु	l i kʰ u
रुझ्	r u d͡zʱ
पूर्णिमा	p u r n i m a
चिरबिरे	t͡ʃ i r b i r e
पछ्यौरा	p ʌ t͡ʃ j a u r a
समागम	s ʌ m a ɡ ʌ m
मुरि	m u r i
मुख्तियार	m u kʰ t i j a r
उपप्रमुख	u p ʌ p r ʌ m u kʰ
लिसीपिसी	l i s i p i s i
लगार्	l ʌ ɡ a r
निराश	n i r a ʃ
क्रमाङ्कन	k r ʌ m a ŋ k ʌ n
घुन्न	ɡʱ u n n
छुमछुम	t͡ʃʰ u m t͡ʃʰ u m

    प्याकुरेल	pjɑːkurel
मनोभावना	mɐnobʱɑːʋɐnɑː
वीर	ʋiːr
एकरस	ekɐrɐs
मूल	muːl
थाली	tʰɑːliː
विकार	ʋikɑːr
लोचन	locʰɐn
दाजुभाइ	dɑːd͡ʒubʱɑːi
निःस्वार्थ	nisʋɑːrtʰ
मङ्गलाचरण	mʌŋɡɑːlɑːt͡ʃɐrɐn
दुर्दशा	durdɐʃɑː
छकि	t͡ʃʰɐki
उत्तेजन	utːeːd͡ʒɐn
पृष्ठसाइज	prʊʂʈʰsɑːid͡ʒ
गुँडुल्कि	gʊɳɖulkɪ
चुबुरचुबुर	t͡ʃuburɐt͡ʃubur
ग्लानि	glɑːni
भित्तेलेखन	bʱitt̪elekʰɐn
घोचुवा	ɡʱocʰuwɑː
झुस्याहा	d͡ʒʰusjɑːhɑː
त्रिपासा	tripɑːsɑː
किड्नी	kɪɖniː
रैकर	raikɐr
वेदान्त	ʋedɑːnt̪
खोतल्	kʰot̪ɐl
धान्	dʱɑːn
कठोरपन	kʌʈʰorɐpɐn
खतरा	kʰɐt̪ɐrɑː
चट्याङ्ग	t͡ʃʌʈjɑːŋɡ
अनुत्पादित	ɐnut̪pɑːdɪt̪
कलकल	kɐlkɐl
सह्यार्	sɐhjɑːr
अकथनिय	ɐkʌt̪ʰɐniː
आङ्गारिक	ɑːŋɡɑːrik
लत्र्याङ्ङ	lɐtrjɑːŋɡ
शुभ	ʃubʱ
टाउको	ʈɑːuko
ओछो	oːt͡ʃʰo
आल्मारी	ɑːlmɑːriː
उप-मार्ग	up-mɑːrɡ
गजुरी	ɡɐd͡ʒuriː
कुहिरे	kʊhire
प्रसन्न	prɐsɐnn
सप्र्याक	sɐprjɑːk
तत्त्व	t̪ɐt̪t̪ʋ
माधव	mɑːdʱʋ
उल्था	ulʈʰɑː
संवास	sʌ̃ʋɑːs
सतबिउ	sɐt̪ɐbiu
खोत्ति	kʰ o t̪ː i
लक्षण	l ʌ kʰ ʃ ʌ n
सिसार	s i s ɑː r
विलक्षण	ʋ i l ʌ kʃ ʌ n
पुकपाक	p u k ʌ p ɑː k
आयुष्मान	ɑː j u ʃ m ɑː n
जातपतित	j ɑː t̪ ʌ p ʌ t̪ i t̪
ख्याल	kʰ j ɑː l
गोङ्गबु	ɡ o ŋ ɡ ʌ b u
हरहर	ɦ ʌ r ʌ ɦ ʌ r
उपवक्ता	u p ʌ ʋ ʌ k t̪ ɑː
बिक्	b i k
कट्टू	k ʌ t̪ː uː
आक्षेपक	ɑː kʃ e p ʌ k
सुकुटे	s u k u t̪ e
महानिर्वाचन	m ʌ ɦ ɑː n i r ʋ ɑː t͡ʃ ʌ n
उन्नायक	u nː ɑː j ʌ k
आविष्ट	ɑː ʋ i ʃ t̪
छुद्र	t͡ʃʰ u d̪ r
कसजू	k ʌ s ʌ d͡ʒ uː
ढिलो	ɖʱ i l o
जुस	d͡ʒ u s
फलैँचा	pʰ ʌ l ɛ̃ t͡ʃ ɑː
जङ्गि	d͡ʒ ʌ ŋ ɡ i
दपेटाइ	d ʌ p e t̪ ɑː i
बाध्य	b ɑː dʱ j ʌ
दैनिकी	d̪ ɑː i n i k iː
पुतौरो	p u t̪ ɔː r o
परीक्षण	p ʌ r iː kʃ ʌ n
कामधेनु	k ɑː m ʌ d̪ʱ e n u
टाउको	t̪ ɑː u k o
वेबफोल्डर	ʋ e b pʰ o l d̪ ʌ r
हिनामिना	ɦ i n ɑː m i n ɑː
अश्रुत	ʌ ʃ r u t̪
भुट्को	bʱ u t̪ k o
एकस्व	e k ʌ s ʋ
टुक्रि	t̪ u k r i
आती	ɑː t̪ i
भुटान	bʱ u t̪ ɑː n
उछिनपाछिन	u t͡ʃʰ i n ʌ p ɑː t͡ʃʰ i n
अस्पष्टता	ʌ s p ʌ ʃ t̪ ʌ t̪ ɑː
आभासित	ɑː bʱ ɑː s i t̪
भँगडी	bʱ ə ŋ ɡ ʌ d̪ i
व्यङ्ग्य	ʋ j ʌ ŋ ɡ j ʌ
आशामुखी	ɑː ʃ ɑː m u kʰ iː
कलैया	k ʌ l ɛː j ɑː
फट्कार्	pʰ ʌ t̪ k ɑː r
चौतीसौं	t͡ʃ ɔː t̪ iː s ɔ̃
उपविष्ट	u p ʌ ʋ i ʃ t̪
बाउसे	b ɑː u s e
फुल्चोकी	phulʧoki
प्यास	pjɑːs
धान्	dʱɑːn
धर्सो	dʱərso
मसौदा	məsɔdɑː
खेदुवा	kʰeduvɑː
भगाङ्कुर	bʱəgɑːŋkur
अनाडी	ənɑːdiː
हारगुहार	hɑːrguhɑːr
शिल्प	ʃilp
झ्यालखाना	d͡ʒʱjɑːlkʰɑːnɑː
पेन्टिङ	pentɪŋ
वनसाङ्लो	vənɑːŋlo
चवालीसौं	t͡ʃəvɑːlisɔ̃
आत्था	ɑːtʰʰɑː
ससीम	səsim
विद्यार्जन	vidjɑːrd͡ʒən
पुच्छर	pʊt͡ʃʰər
माधव	mɑːdʱəv
ख्यात	kʰjɑːt
आशामुखी	ɑːʃɑːmukʰiː
जर्याक्क	d͡ʒərjɑːkʰkʰ
निवृत्त	nivɹ̩t
घेराबन्दी	ɡʱerɑːbəndiː
चेकपोस्ट	t͡ʃekpɔst
अवधि	əvədʱi
तन्दा	təndɑː
आविष्ट	ɑːviʃʈ
भरपाई	bʱərpɑːi
चञ्चले	t͡ʃənt͡ʃəle
कठोरपन	kəʈʰɔrəpən
सइस	səis
गोदावरी	godɑːvəri
चुइँकने	t͡ʃuinkəne
कोल्टे	kolʈe
राजश्व	rɑːd͡ʒʃvə
अब्राहम	əbrɑːhəm
घराना	ɡʱərɑːnɑː
एकजातीय	ekd͡ʒɑːtiːj
उभि	ubʱi
जिल्लाराम	d͡ʒillɑːrɑːm
स्वयंसेवक	svəjə̃sevək
पशुपक्षी	pəʃupəkʃiː
उत्तिको	uttiko
साहचर्य	sɑːhət͡ʃərj
कामधेनु	kɑːmdʱenu
विरगाथा	virgɑːtʰɑː
चन्द्रशेखर	t͡ʃəndrəʃekʰər
गुत्थि	gutʰʰi
आह्‍लाद	ɑːhlɑːd
नक्साल	n ʌ k s ä l
ढाल्	ɖʱ ä l
बरन्डा	b ʌ r ʌ n ɖ ä
उपाय	u p ä j
आमसञ्चार	ä m ʌ s ʌ n t͡ʃ ä r
जनशक्ति	d͡ʒ ʌ n ʃ ʌ k t̪ i
उमार्	u m ä r
ठूलाबडा	ʈʰ u l ä b ʌ ɖ ä
कलङ्की	k ʌ l ʌ ŋ k i
हाउस	ɦ ä u s
जिल्लाराम	d͡ʒ i l l ä r ä m
पग्लि	p ʌ ɡ l i
सुब्बा	s u b b ä
रमरमी	r ʌ m ʌ r m i
तड्कारै	t̪ ʌ ɖ k ä r ä i
विस्तारी	b i s t̪ ä r i
अनुगुण	ʌ n u ɡ u n
वाचकी	b ä t͡ʃ ʌ k i
पञ्चायत	p ʌ n t͡ʃ ä j ʌ t̪
बेच्	b e t͡ʃ
पिँद्	p i n d̪
खुल्कि	kʰ u l k i
सिट्	s i ʈ
झगड्याहा	d͡ʒʱ ʌ ɡ ʌ d̪ j ä ɦ ä
बड्‍कौँलो	b ʌ ɖ k ä ũ̯ l o
कसूरदार	k ʌ s u r d ä r
ताउली	t ä u l i
पतलाउ	p ʌ t̪ ʌ l ä u
माने	m ä n e
महिष	m ʌ ɦ i s
होचि	ɦ o t͡ʃ i
भूमण्डल	bʱ u m ʌ n ɖ ʌ l
पन्याइ	p ʌ n j ä i
मीनपचास	m i n p ʌ t͡ʃ ä s
गफ	ɡ ʌ f
गहत	ɡ ʌ ɦ ʌ t̪
केही	k e ɦ i
कार्यशैली	k ä r j ʃ ä i l i
छ्याट्ट	t͡ʃʰ j ä ʈ ʈ
एक्युपङ्चर	e k j u p ʌ ŋ t͡ʃ ʌ r
जाडे	d͡ʒ ä ɖ e
ढैंचा	ɖʱ ä i n t͡ʃ ä
अफिम	ʌ f i m
फलैँचा	f ʌ l ä i n t͡ʃ ä
हेलछेक्‍र्याइँ	ɦ e l t͡ʃʰ e k r j ä i n
रैती	r ä i t̪ i
लहना	l ʌ ɦ ʌ n ä
कसजू	k ʌ s ʌ d͡ʒ u
अर्घौतो	ʌ r ɡʱ ä u t̪ o
मनोविज्ञान	m ʌ n o b i d͡ʒ ʌ n ä n
हुर्रि	ɦ u r r i
पीडा	p iː ɖ aː
झुरुमुरु	d͡ʒʱ u r u m u r u
अशास्त्रीय	ʌ ʃ aː ʃ t̪ r iː j
मङ्गोल	m ŋ ɡ o l
आरिस	aː r i s
धपेड्	d̪ʱ p e ɖ
वाहन	w aː ɦ n
निक्ल	n i k l
खेर्	kʰ e r
उत्तिको	u t̪ t̪ i k o
प्यारा	p j aː r aː
धुरी	d̪ʱ u r iː
उभि	u bʱ i
बङ्गला	b ŋ ɡ l aː
बिजाइँ	b i d͡ʒ aː ĩ
कपी	k p iː
अठन्नी	ʌ t̪ʰ n n iː
आग्ले	aː ɡ l e
बाइकार्बोनेट	b aː i k aː r b o n e t̪
जातपतित	d͡ʒ aː t̪ p t̪ i t̪
बेल्ट	b e l t̪
कुशलता	k u ʃ l t̪ aː
लाजवती	l aː d͡ʒ w t̪ iː
चुड्का	t͡ʃ u ɖ k aː
बटुको	b ʈ u k o
छटपटी	t͡ʃʰ ʈ p ʈ iː
उपविष्ट	u p w i ʂ ʈ
अरिनी	ʌ r i n iː
सनातन	s n aː t̪ n
जिस्क	d͡ʒ i s k
हड्डी	ɦ ɖ ɖ iː
साङ्ली	s aː ŋ l iː
अयौन	ʌ j o n
फुटर	f u ʈ r
अतिक्रमण	ʌ t̪ i k r m ɳ
कुटुम्बी	k u ʈ u m b iː
बोको	b o k o
सेवन	s e w n
हकदार	ɦ k d aː r
खिपुवा	kʰ i p u w aː
खोसेल्टि	kʰ o s e l t̪ i
लग्न	l ɡ n
युगवाणी	j u ɡ w aː ɳ iː
रल्लि	r l l i
प्रेमकथा	p r e m k t̪ʰ aː
कार्बनडाइअक्साइड	k aː r b n ɖ aː i ʌ k s aː i d̪
रसि	r s i
काम्रो	k aː m r o
फर्छि	f r t͡ʃʰ i
चिप्ल	ʧ i p l
घ्याम्पे	ɡʱ j ä m p e
गर्माउ	ɡ ʌ r m ä u
झ्याप्लो	d͡zʱ j ä p l o
विखण्डन	b i kʰ ʌ n̪ d̪ ʌ n
अफाल्	ʌ pʰ ä l
अभिजातवर्ग	ʌ bʱ i d͡z ä t̪ ʌ b ʌ r ɡ
आसत्ति	ä s ʌ t̪ t̪ i
झट्याक	d͡zʱ ʌ t̪ j ä k
लिपु	l i p u
वायुमण्डल	b ä j u m ʌ n̪ d̪ ʌ l
मन्दी	m ʌ n̪ d̪ i
सिनेमा	s i n e m ä
दर्को	d̪ ʌ r k o
ओल्ट	o l ʈ
बर्मा	b ʌ r m ä
कर्कट	k ʌ r k ʌ ʈ
हुत्त	ɦ u t̪ t̪
छ्याकटे	t͡sʱ j ä k ʌ ʈ e
तीस	t̪ i s
मोर्चा	m o r t͡ʃ ä
बाइनरी	b ä i n ʌ r i
ठेक्‍का	ʈʰ e k k ä
पुलिस	p u l i s
आविष्ट	ä b i s̪ t̪
तथा	t̪ ʌ t̪ʰ ä
सबार	s ʌ b ä r
राममन्दिर	r ä m ʌ n̪ d̪ i r
हल्ट	ɦ ʌ l ʈ
श्यार्पा	ʃ j ä r p ä
खुसहाल	kʰ u s ʌ ɦ ä l
प्रतिदिन	p r ʌ t̪ i d̪ i n
वहि:	b ʌ ɦ i
अधिवक्ता	ʌ d̪ʱ i b ʌ k t̪ ä
बिन्	b i n
कपासे	k ʌ p ä s e
शुक्र	ʃ u k r
तत्पश्चात्	t̪ ʌ t̪ p ʌ ʃ t̪ʃ ä t̪
टमटम	ʈ ʌ m ʈ ʌ m
सम्पूर्णता	s ʌ m p u r n̪ t̪ ä
उद्‌बोधक	u d̪ b o d̪ʱ ʌ k
अट्टालिका	ʌ ʈ ʈ ä l i k ä
अयौन	ʌ j o u n
जाँघवाल	d͡z ä̃ ɡʱ b ä l
गन्धिलो	ɡ ʌ n̪ d̪ʱ i l o
आशौची	ä ʃ o u t͡ʃ i
शौरसेन	ʃ o u r ʌ s e n
उहुँ	u ɦ ũ
उतर्सि	u t̪ ʌ r s i
उपलब्धता	u p ʌ l ʌ bʱ d̪ʱ ʌ t̪ ä
दुङदुङ	d̪ʊŋd̪ʊŋ
रैती	ɾaɪt̪i
त्रिवेणी	t̪ɾɪveɳi
हिन्दी	ɦɪnd̪i
जगर्सेठ	d͡ʒʌɡʌɾset̪ʰ
देवेन्द्र	d̪eveɳd̪ɾʌ
विकल्प	vɪkʌlp
तौलसमूह	t̪aʊlsʌmuːɦ
द्रब्यशाह	d̪ɾʌbʌjɑːɦ
मोल	moːl
पुकपाक	pʊkpɑːk
जनस्तर	d͡ʒʌnʌst̪ʌɾ
अव्यय	ʌvʌjʌj
सल	sʌl
वेद	veːd̪
उपास्	ʊpɑːs
प्रभात	pɾʌbʌɑːt̪
आश्चर्यित	ɑːʃt͡ʃʌɾʌjit̪
अतिशय	ʌt̪ɪʃʌj
शान्तिवार्ता	ʃɑːnt̪ɪvɑːɾt̪ɑː
आतस	ɑːt̪ʌs
हप्कीदप्की	ɦʌpkɪd̪ʌpkɪ
साहचर्य	sɑːɦʌt͡ʃʌɾʌj
रुझ्	ɾʊd͡ʒʰ
पद	pʌd̪
मढ्	mʌd̪ʰ
सायुज्य	sɑːjuːd͡ʒʌj
पन्त	pʌnt̪
काव्यशैली	kɑːvʌjʃaɪli
तरक्की	t̪ʌɾkki
वाहन	vɑːɦʌn
पचपच	pʌt͡ʃpʌt͡ʃ
टल्ल	t̪ʌll
झँटाइ	d͡ʒʰʌ̃t̪ɑːi
बाहु	bɑːɦu
चौटा	t͡ʃaʊt̪ɑː
बेल्ट	beːlt̪
अथक	ʌt̪ʰʌk
अन्तरी	ʌnt̪ʌɾi
स्तरीयता	st̪ʌɾijʌt̪ɑː
अद्यतन	ʌd̪ʌjʌt̪ʌn
परिपाठ	pʌɾipɑːt̪ʰ
अधीन	ʌd̪ʱiːn
जाँघवाल	d͡ʒɑːŋɦvɑːl
दपेट्	d̪ʌpet̪
जत्ति	d͡ʒʌt̪t̪i
गर्भपाती	ɡʌɾbʌpɑːt̪i
क्रिकेट	kɾɪket̪
प्रवर्तन	pɾʌvʌɾt̪ʌn
ठकठकी	t̪ʰʌkʌt̪ʰʌki
टेस्ट	ʈesʈ
आइडल	ɑːiɖəl
झेलाहा	d͡ʒʱeːlɑːɦɑː
चड्कन	t͡ʃəɖkən
अनिष्ट	əniʂʈ
सद्‌गुरु	sədɡuru
डबल	ɖəbəl
अविकल	əvikəl
बुढिया	buɖʱijɑː
औताउ	ɔːtɑːu
केटाकेटी	keːʈɑːkeːʈiː
