'day	ˈd a j
bibili	b i b i ˈl i
bibilis	b i b i ˈl i s
bibimbap	ˈb i b i m b a p
bibingka	b i ˈb i ŋ k a
bibingka	b i b i ŋ ˈk a
Bibliya	ˈb i b l i a
bibliyograpiya	b i b l i o ɡ ɾ a ˈp i a
bibliyoteka	b i b l i o ˈt e k a
bibo	ˈb i b o
bida	ˈb i d a
bidbid	b i d ˈb i d
bidbiran	b i d ˈb i ɾ a n
bidbiran	b i d b i ˈɾ a n
bidsin	b i d ˈs i n
bidyo	ˈb i d j o
Bienvenido	b i ˌe n v e ˈn i d o
Bienvenido	b i ˌe n b e ˈn i d o
biga	ˈb i ɡ a ʔ
biga	ˈb i ɡ a
bigamiya	b i ɡ a ˈm i a
bigamya	b i ˈɡ a m j a
bigamya	b i ɡ a m ˈj a
bigas	b i ˈɡ a s
bigasan	ˌb i ˈɡ a s a n
bigat	b i ˈɡ a t
bigat	b i ɡ ˈʔ a t
bigatin	b i ˈɡ a t i n
bigaw	b i ˈɡ a w
bigay	b i ˈɡ a j
bigha	b i ɡ ˈh a ʔ
bighani	b i ɡ ˈh a n i ʔ
bigkas	b i ɡ ˈk a s
bigkis	b i ɡ ˈk i s
bigla	b i ɡ ˈl a ʔ
biglaan	b i ɡ ˈl a ʔ a n
bignay	b i ɡ ˈn a j
bigo	b i ˈɡ o ʔ
bigonya	b i ˈɡ o n j a
bigote	b i ˈɡ o t e
bigotilyo	b i ɡ o ˈt i l j o
bigti	b i ɡ ˈt i
bigti	b i ɡ ˈt i ʔ
bigtihin	b i ɡ t i ˈh i n
bigtiin	b i ɡ t i ˈʔ i n
bigting	b i ɡ ˈt i ŋ
biguin	b i ɡ u ˈʔ i n
bigwas	b i ɡ ˈw a s
bigyan	b i ɡ ˈj a n
biha	ˈb i h a
bihag	ˈb i h a ɡ
bihag	b i ˈh a ɡ
bihasa	b i ˈh a s a
bihasa	b i h a ˈs a
bihasa	b i ˈh a s a ʔ
bihasa	b i h a ˈs a ʔ
bihilante	b i h i ˈl a n t e
bihilya	b i ˈh i l j a
bihira	b i ˈh i ɾ a ʔ
bihis	ˈb i h i s
bihis	b i ˈh i s
bihod	ˈb i h o d
bihon	ˈb i h o n
biik	b i ˈʔ i k
bika	b i ˈk a ʔ
bikariya	b i k a ˈɾ i a
bikariya	b i k a ɾ i ˈa
bikarya	b i ˈk a ɾ j a
bikaryato	b i k a ɾ ˈj a t o
bikaryo	b i ˈk a ɾ j o
bikas	ˈb i k a s
bikas	b i ˈk a s
bikat	ˈb i k a t
biki	ˈb i k i ʔ
bikig	b i ˈk i ɡ
biko	ˈb i k o
Bikol	ˈb i k o l
Bikolana	b i k o ˈl a n a
Bikolano	b i k o ˈl a n o
biktima	ˌb i k t i ˈm a
bila	ˈb i l a
bilabila	b i l a b i ˈl a
bilad	b i ˈl a d
bilang	ˈb i l a ŋ
bilang	b i ˈl a ŋ
bilang	ˈb i l a ŋ
bilangan	b i l a ˈŋ a n
bilangan	b i ˈl a ŋ a n
bilanggo	b i l a ŋ ˈɡ o ʔ
bilangguan	b i l a ŋ ˈɡ u ʔ a n
bilangin	b i ˈl a ŋ i n
bilangin	ˌb i l a ˈŋ i n
bilao	b i ˈl a ʔ o
bilaok	b i ˈl a ʔ o k
bilas	b i ˈl a s
bilasa	b i l a ˈs a ʔ
bilasa	b i ˈl a s a ʔ
bilauo	b i ˈl a w o
bilaw	b i ˈl a w
bilbil	b i l ˈb i l
bilbord	ˈb i l b o ɾ d
bilding	ˈb i l d i ŋ
bilhan	b i l ˈh a n
bilhin	b i l ˈh i n
bili	b i ˈl i
bili	b i ˈl e
bilib	b i ˈl i b
bilibid	b i ˈl i b i d
bilig	b i ˈl i ɡ
bilin	ˈb i l i n
bilingguwal	b i l i ŋ ɡ u ˈa l
Biliran	b i ˈl i ɾ a n
bilis	b i ˈl i s
bilisan	b i l i ˈs a n
bilnuran	b i l ˈn u ɾ a n
bilo	b i ˈl o
bilo	b i ˈl o
bilo	ˈb i l o
bilog	ˈb i l o ɡ
bilog	b i ˈl o ɡ
bilot	ˈb i l o t
bilot	b i ˈl o t
bilot	b i ˈl o t
biloy	ˈb i l o j
bilubilo	b i ˌl u b i ˈl o
bilugan	b i l u ˈɡ a n
bilugan	b i ˈl u ɡ a n
bilugin	b i ˈl u ɡ i n
bilukaw	b i ˈl u k a w
bilulo	b i ˈl u l o
biluslawas	b i l u s ˈl a w a s
bilyar	b i l ˈj a ɾ
bilyaran	b i l ˈj a ɾ a n
bilyon	b i l ˈj o n
bilyonarya	b i l j o ˈn a ɾ j a
bilyonaryo	b i l j o ˈn a ɾ j o
bimbin	b i m ˈb i n
bimol	b i ˈm o l
bimpo	ˈb i m p o
binababae	b i n a b a ˈb a ʔ e
binabae	b i n a b a ˈʔ e
binabae	b i n a ˈb a ʔ e
binabakunahan	b i n a b a k u ˈn a h a n
binabasa	b i n a ˈb a s a
binabasa	b i n a b a ˈs a ʔ
binabatukan	b i n a b a ˈt u k a n
binabayi	b i n a ˈb a j i
binago	b i ˈn a ɡ o
binagre	b i ˈn a ɡ ɾ e
binakunahan	b i n a k u ˈn a h a n
binalalak	b i n a ˈl a l a k
Binangonan	b i n a ˈŋ o n a n
binasa	b i ˈn a s a
binasa	b i n a ˈs a ʔ
binat	ˈb i n a t
binata	b i ˈn a t a ʔ
binatilyo	b i n a ˈt i l j o
binatukan	b i n a ˈt u k a n
binawian	b i n a ˈw i ʔ a n
binaysok	b i n a j ˈs o k
binhay	b i n ˈh a j
binhi	b i n ˈh i ʔ
bini	ˈb i n i ʔ
binibini	b i n i ˈb i n i
Binibini	b i n i ˈb i n i
biniboy	b i ˈn i b o j
binigay	b i n i ˈɡ a j
binili	b i n i ˈl i
bino	ˈb i n o
binokulo	b i ˌn o k u ˈl o
Binondo	b i ˈn o n d o
binsa	b i n ˈs a ʔ
binta	ˈb i n t a
bintag	b i n ˈt a ɡ
bintana	b i n ˈt a n a ʔ
bintang	b i n ˈt a ŋ
binti	b i n ˈt i ʔ
binting	b i n ˈt i ŋ
bintog	b i n ˈt o ɡ
bintukuhol	b i n t u k u ˈh o l
Binubusan	b i n u ˈb u s a n
binubuweltahan	b i n u b u ˌe l t a ˈh a n
binundok	b i n u n ˈd o k
binutil	b i ˈn u t i l
binuweltahan	b i n u ˌe l t a ˈh a n
Binuya	b i ˈn u j a
binyag	b i n ˈj a ɡ
Biñan	b i ˈɲ a n
binggo	ˈb i ŋ ɡ o
bingguhan	b i ŋ ˈɡ u h a n
bingi	b i ˈŋ i
bingi	b i ˈŋ i ʔ
bingit	ˈb i ŋ i t
bingot	ˈb i ŋ o t
bingot	b i ˈŋ o t
bingwit	b i ŋ ˈw i t
bir	ˈb i ɾ
bira	b i ˈɾ a
bira	ˈb i ɾ a
bira	ˈb i ɾ a ʔ
birada	b i ˈɾ a d a
birang	ˈb i ɾ a ŋ
biray	b i ˈɾ a j
biray	ˈb i ɾ a j
biray	ˈb i ɾ a j
bireta	b i ˈɾ e t a
birey	ˈb i ɾ e j
Birgo	ˈb i ɾ ɡ o
birhen	ˈb i ɾ h e n
biri	b i ˈɾ i
birilidad	b i ɾ i l i ˈd a d
birimbaw	b i ɾ i m ˈb a w
Biring	b i ˈɾ i ŋ
birit	ˈb i ɾ i t
Birmanya	b i ɾ ˈm a n j a
biro	ˈb i ɾ o ʔ
birsin	b i ɾ ˈs i n
birtud	b i ɾ ˈt u d
birtuwal	b i ɾ t u ˈa l
biruin	b i ˈɾ u ʔ i n
birus	ˈb i ɾ u s
bisa	ˈb i s a ʔ
bisa	ˈb i s a
bisagra	b i ˈs a ɡ ɾ a
bisaklat	b i s a k ˈl a t
Bisaya	b i ˈs a j a ʔ
Biscocho	b i s ˈk o t͡ʃ o
bise	ˈb i s e
bisebersa	b i s e ˈb e ɾ s a
bisi	ˈb i s i
bisi	ˈb i s i ʔ
bisi	b i ˈs i ʔ
bisibilidad	b i s i b i l i ˈd a d
bisig	ˈb i s i ɡ
bisikleta	b i s i k ˈl e t a
bisiro	b i ˈs i ɾ o
bisisto	b i s i s ˈt o
bisita	b i ˈs i t a
bisitahin	b i s i ˈt a h i n
bisiyesto	b i s i ˈe s t o
biskonde	b i s ˈk o n d e
biskondesa	b i s k o n ˈd e s a
biskuwit	b i s k u ˈi t
biskwit	b i s ˈk w i t
Bisnar	b i s ˈn a ɾ
biso	b i ˈs o ʔ
bisor	b i ˈs o ɾ
bisperas	ˈb i s p e ɾ a s
bista	ˈb i s t a
bistado	b i s ˈt a d o
bistek	b i s ˈt e k
bisti	b i s ˈt i
bisto	ˈb i s t o
bisyesto	b i s ˈj e s t o
bisyo	ˈb i s j o
bisyon	b i s ˈj o n
bitad	b i ˈt a d
bitag	ˈb i t a ɡ
bitak	b i ˈt a k
bitamina	b i t a ˈm i n a
bitaog	b i ˈt a ʔ o ɡ
bitas	ˈb i t a s
bitaw	b i ˈt a w
bitay	ˈb i t a j
bitayan	b i t a ˈj a n
bitbit	b i t ˈb i t
bithay	b i t ˈh a j
bitig	ˈb i t i ɡ
bitig	b i ˈt i ɡ
bitin	ˈb i t i n
bitin	b i ˈt i n
bitiw	b i ˈt i w
bito	b i ˈt o ʔ
bito	ˈb i t o ʔ
bitsin	b i ˈt͡ʃ i n
bitso	ˈb i t͡ʃ o
bitso	b i ˈt͡ʃ o
bitsuwelas	b i t͡ʃ u ˈe l a s
bituin	b i t u ˈʔ i n
bituin	b i ˈt u ʔ i n
bituin	b i t ˈw i n
bituin	b i ˈt u ʔ i n
Bituin	b i t u ˈʔ i n
bituka	b i ˈt u k a
bituwin	b i t u ˈi n
bituwin	b i ˈt u i n
biya	b i ˈa ʔ
biya	ˈb i a
biyahe	b i ˈa h e
biyahero	b i a ˈh e ɾ o
biyak	b i ˈa k
biyanan	b i a ˈn a n
biyas	b i ˈa s
biyatiko	b i ˈa t i k o
biyay	b i ˈa j
biyaya	b i ˈa j a ʔ
biyenan	b i e ˈn a n
Biyer.	b i ˈe ɾ
Biyernes	b i ˈe ɾ n e s
Biyetnam	b i e t ˈn a m
biyograpiya	b i o ɡ ɾ a ˈp i a
biyola	b i ˈo l a
biyolento	b i o ˈl e n t o
biyoleta	b i o ˈl e t a
biyolin	b i o ˈl i n
biyolohiya	b i o l o ˈh i a
biyolon	b i o ˈl o n
biyopisika	b i o ˈp i s i k a
biyuda	b i ˈu d a
biyudo	b i ˈu d o
Blanco	ˈb l a ŋ k o
blangkete	b l a ŋ ˈk e t e
blangko	ˈb l a ŋ k o
blater	ˈb l a t e ɾ
bloke	ˈb l o k e
blotter	ˈb l a t e ɾ
blusa	ˈb l u s a
blusil	ˈb l u s i l
BMP	ˌb i ʔ e m ˈp i
Boac	b o ˈa k
boba	ˈb o b a
Bobadilla	b o b a ˈd i l j a
bobo	ˈb o b o
bobog	ˈb o b o ɡ
bobotante	b o b o ˈt a n t e
Bocaue	b o ˈk a w e
boda	ˈb o d a
bodabil	ˌb o d a ˈb i l
bodega	b o ˈd e ɡ a
bodka	ˈb o d k a
bogambilya	b o ɡ a m ˈb i l j a
Bogota	b o ɡ o ˈt a
bohaghag	b o h a ɡ ˈh a ɡ
Bohol	b o ˈh o l
bokabularyo	b o k a b u ˈl a ɾ j o
bokal	b o ˈk a l
bokasyon	b o k a s ˈj o n
bokaysendiyo	ˌb o k a j ˈs e n d j o
bokaysendyo	ˌb o k a j ˈs e n d j o
boksing	ˈb o k s i ŋ
boksingero	b o k s i ˈŋ e ɾ o
bokya	ˈb o k j a ʔ
bola	ˈb o l a
Bolante	b o ˈl a n t e
Bolaños	b o ˈl a ɲ o s
Bolbok	b o l ˈb o k
bold	ˈb o l d
boldyak	ˈb o l d j a k
bolera	b o ˈl e ɾ a
bolero	b o ˈl e ɾ o
boletin	b o l e ˈt i n
Bolibya	b o ˈl i b j a
bolilyo	b o ˈl i l j o
boling	ˈb o l i ŋ
Bolivar	b o ˈl i v a ɾ
Bolivar	b o ˈl i b a ɾ
bolo	ˈb o l o
bolpen	ˈb o l p e n
bolta	ˈb o l t a
boltahe	b o l ˈt a h e
boltiyo	ˈb o l t j o
boluntaryo	b o l u n ˈt a ɾ j o
bomba	ˈb o m b a
Bombay	b o m ˈb a j
bombero	b o m ˈb e ɾ o
bombilya	b o m ˈb i l j a
bonak	ˈb o n a k
Bondoc	ˈb o n d o k
bondying	b o n ˈd j i ŋ
Bonifacio	b o n i ˈf a s j o
Bonifacio	b o n i ˈp a s j o
Bonilla	b o ˈn i l j a
Bongabong	b o ˈŋ a b o ŋ
bongga	ˈb o ŋ ɡ a
Bool	b o ˈʔ o l
Boongaling	b o ʔ o ŋ ɡ a ˈl i ŋ
Boracay	b o ˈɾ a k a j
boratsera	b o ɾ a ˈt͡ʃ e ɾ a
boratsero	b o ɾ a ˈt͡ʃ e ɾ o
borbeg	ˈb o ɾ b e ɡ
Borbon	b o ɾ ˈb o n
borda	b o ɾ ˈd a
Bordado	b o ɾ ˈd a d o
boriko	ˈb o ɾ i k o
boriko	b o ˈɾ i k o
Borillo	b o ˈɾ i l j o
Borja	ˈb o ɾ h a
borlas	ˈb o ɾ l a s
Borlaza	b o ɾ ˈl a z a
Borlaza	b o ɾ ˈl a s a
boro	ˈb o ɾ o
Borongan	b o ˈɾ o ŋ ɡ a n
bos	ˈb o s
boses	ˈb o s e s
bosing	ˈb o s i ŋ
Bosniya	ˈb o s n i a
Bosnya	ˈb o s n j a
boso	ˈb o s o
boss	ˈb o s
bosyo	ˈb o s j o ʔ
bota	ˈb o t a
botanika	b o ˌt a n i ˈk a
botante	b o ˈt a n t e
botas	ˈb o t a s
bote	ˈb o t e
botelya	b o ˈt e l j a
botika	b o ˈt i k a
boto	ˈb o t o
botogs	ˈb o t o ɡ s
botohan	b o t o ˈh a n
botohan	b o ˈt o h a n
boton	b o ˈt o n
boton	ˈb o t o n
boton	b o ˈt o n
botones	b o ˈt o n e s
botong	b o ˈt o ŋ
botsa	ˈb o t͡ʃ a ʔ
Botswana	b o t s ˈw a n a
bottomesa	b o t o ˈm e s a
botyog	ˈb o t j o ɡ
boy	ˈb o j
boya	ˈb o j a
boykot	ˈb o j k o t
BP	ˈb i p i
bra	ˈb ɾ a
brad	ˈb ɾ a d
brandi	ˈb ɾ a n d i
Brasil	b ɾ a ˈs i l
braso	ˈb ɾ a s o
Bravo	ˈb ɾ a v o
Bravo	ˈb ɾ a b o
Breslavia	b ɾ e s ˈl a v j a
Breslavia	b ɾ e s ˈl a b j a
Bretanya	b ɾ e ˈt a n j a
Brigela	b ɾ i ˈɡ e l a
Briguela	b ɾ i ɡ ˈw e l a
Brillantes	b ɾ i l ˈj a n t e s
brilyante	b ɾ i l ˈj a n t e
Briones	b ɾ i ˈo n e s
brip	ˈb ɾ i p
Britanya	b ɾ i ˈt a n j a
brodkast	ˈb ɾ o d k a s t
brodkaster	ˌb ɾ o d ˈk a s t e ɾ
brokoli	ˈb ɾ o k o l i
brokuli	b ɾ o k u ˈl i
bronse	ˈb ɾ o n s e
Broqueza	b ɾ o ˈk e z a
Broqueza	b ɾ o ˈk e s a
Brosas	ˈb ɾ o s a s
brotsa	ˈb ɾ o t͡ʃ a
BRP	ˌb i ʔ a ɾ ˈp i
bruha	ˈb ɾ u h a
bruhula	b ɾ u ˈh u l a
Bruselas	b ɾ u ˈs e l a s
brutal	b ɾ u ˈt a l
BSP	ˌb i ʔ e s ˈp i
Buan	ˈb u a n
buang	b u ˈʔ a ŋ
buaya	b u ˈʔ a j a
buaya	b u ˈa j a
bubo	ˈb u b o
bubo	b u ˈb o
bubo	ˈb u b o ʔ
bubo	b u ˈb o ʔ
bubog	ˈb u b o ɡ
bubong	b u ˈb o ŋ
buboy	ˈb u b o j
bubuli	b u b u ˈl i
bubungan	b u b u ˈŋ a n
bubuweltahan	b u b u ˌe l t a ˈh a n
bubuwit	b u b u ˈi t
bubuyog	b u ˈb u j o ɡ
bubwit	b u b ˈw i t
Bucad	ˈb u k a d
Bucal	b u ˈk a l
Buda	ˈb u d a
budang	b u ˈd a ŋ
budbod	b u d ˈb o d
budhi	b u d ˈh i ʔ
budin	b u ˈd i n
buding	b u ˈd i ŋ
Budismo	b u ˈd i s m o
Budista	b u ˈd i s t a
budol	ˈb u d o l
budots	b u ˈd o t s
Buenafe	b u ˌe n a ˈf e
Buenafe	b u ˌe n a ˈp e
Buenaflor	b u e n a ˈf l o ɾ
Buenaventura	ˌb w e n a v e n ˈt u ɾ a
Buenaventura	b u ˌe n a b e n ˈt u ɾ a
Buencamino	b u e n k a ˈm i n o
Buendia	b u e n ˈd i a
Bueno	b u ˈe n o
Buenviaje	b u e n v i ˈa h e
Buenviaje	b u e n b i ˈa h e
buga	b u ˈɡ a
buga	ˈb u ɡ a ʔ
Bugallon	b u ɡ a l ˈj o n
Bugarin	b u ɡ a ˈɾ i n
bugat	b u ˈɡ a t
bugaw	ˈb u ɡ a w
bugbog	b u ɡ ˈb o ɡ
bughaw	b u ɡ ˈh a w
bugnit	b u ɡ ˈn i t
bugnitbugnit	b u ɡ ˌn i t b u ɡ ˈn i t
bugnot	b u ɡ ˈn o t
bugnutin	b u ɡ ˈn u t i n
bugok	b u ˈɡ o k
bugso	b u ɡ ˈs o ʔ
bugtong	b u ɡ ˈt o ŋ
Bugtong	b u ɡ ˈt o ŋ
buhag	ˈb u h a ɡ
buhag	b u ˈh a ɡ
buhaghag	b u h a ɡ ˈh a ɡ
buhagsigan	b u h a ɡ ˈs i ɡ a n
buhagsigwasan	b u h a ɡ s i ɡ ˈw a s a n
buhagtigilan	b u h a ɡ t i ˈɡ i l a n
Buhain	b u ˈh a ʔ i n
buhangin	b u ˈh a ŋ i n
buhat	ˈb u h a t
buhat	b u ˈh a t
buhawi	b u ˈh a w i ʔ
buhay	ˈb u h a j
buhay	b u ˈh a j
buhok	b u ˈh o k
buhol	b u ˈh o l
buhos	ˈb u h o s
buhusan	b u ˈh u s a n
buhusan	b u h u ˈs a n
buka	b u ˈk a
bukad	b u ˈk a d
bukadkad	b u k a d ˈk a d
bukaka	b u k a ˈk a ʔ
bukaka	b u ˈk a k a ʔ
bukal	b u ˈk a l
Bukal	b u ˈk a l
bukalkal	b u k a l ˈk a l
bukambibig	b u k a m b i ˈb i ɡ
bukana	b u ˈk a n a
bukas	b u ˈk a s
bukas	ˈb u k a s
bukayo	b u ˈk a j o ʔ
bukbok	b u k ˈb o k
bukid	ˈb u k i d
Bukidnon	b u k i d ˈn o n
buking	b u ˈk i ŋ
bukirin	b u k i ˈɾ i n
buklat	b u k ˈl a t
buklaw	b u k ˈl a w
buklod	b u k ˈl o d
buko	ˈb u k o
buko	b u ˈk o
bukod	b u ˈk o d
bukol	ˈb u k o l
bukong	b u ˈk o ŋ
bukong	ˈb u k o ŋ
bukot	b u ˈk o t
bukot	ˈb u k o t
buksan	b u k ˈs a n
bula	b u ˈl a ʔ
bula	ˈb u l a ʔ
bula	b u ˈl a
bula	ˈb u l a
bula	ˈb u l a ʔ
bulaan	b u ˈl a ʔ a n
Bulacan	b u l a ˈk a n
bulag	b u ˈl a ɡ
bulag	ˈb u l a ɡ
bulaga	b u l a ˈɡ a ʔ
bulagsak	b u l a ɡ ˈs a k
bulagta	b u l a ɡ ˈt a ʔ
bulahaw	b u ˈl a h a w
bulahaw	b u l a ˈh a w
bulak	ˈb u l a k
bulak	b u ˈl a k
bulakan	b u ˈl a k a n
bulakan	b u l a ˈk a n
Bulakan	b u l a ˈk a n
bulakbol	b u l a k ˈb o l
Bulakenyo	b u l a ˈk e n j o
bulaklak	b u l a k ˈl a k
Bulalacao	b u l a ˈl a k a w
bulalakaw	b u l a ˈl a k a w
bulalas	b u l a ˈl a s
bulalas	b u ˈl a l a s
bulalato	b u l a ˈl a t o
bulalay	b u ˈl a l a j
bulalayak	ˌb u l a l a ˈj a k
Bulalayao	b u l a ˈl a j a w
bulalo	b u l a ˈl o ʔ
bulan	ˈb u l a n
Bulan	ˈb u l a n
bulandal	b u l a n ˈd a l
Bulanhagui	b u l a n ˈh a ɡ i
bulantubig	b u l a n ˈt u b i ɡ
bulanglang	b u l a ŋ ˈl a ŋ
bulaos	b u ˈl a ʔ o s
bulas	ˈb u l a s
bulastog	b u l a s ˈt o ɡ
bulate	b u ˈl a t e
bulati	b u ˈl a t i
bulati	b u ˈl a t e
bulatlat	b u l a t ˈl a t
bulaw	b u ˈl a w
bulawan	b u ˈl a w a n
bulay	ˈb u l a j
bulbol	b u l ˈb o l
buldog	ˈb u l d o ɡ
buldoser	b u l ˈd o s e ɾ
bulgar	b u l ˈɡ a ɾ
Bulgaro	b u l ɡ a ˈɾ o
Bulgarya	b u l ˈɡ a ɾ j a
buli	ˈb u l i
buli	b u ˈl i
bulig	b u ˈl i ɡ
buliga	b u ˈl i ɡ a ʔ
bulihala	b u l i ˈh a l a ʔ
Bulihan	b u l i ˈh a n
bulilit	b u ˈl i l i t
bulilit	b u l i ˈl i t
bulilyaso	b u l i l ˈj a s o
buling	ˈb u l i ŋ
bulingbuling	b u l i ŋ ˈb u l i ŋ
buliyos	b u ˈl i o s
bulkan	b u l ˈk a n
bulo	b u ˈl o ʔ
bulo	ˈb u l o
bulog	ˈb u l o ɡ
bulok	b u ˈl o k
bulol	b u ˈl o l
bulon	b u ˈl o n
bulong	b u ˈl o ŋ
bulsa	b u l ˈs a
bulsiko	b u l ˈs i k o
bulsikot	b u l ˈs i k o t
bulsilyo	b u l ˈs i l j o
bulubundukin	b u l u b u n ˈd u k i n
bulugan	b u ˈl u ɡ a n
bululos	b u l u ˈl o s
bulutong	b u ˈl u t o ŋ
bulutunggo	b u l u t u ŋ ˈɡ o
bulwag	b u l ˈw a ɡ
bulwagan	b u l ˈw a ɡ a n
bulwagan	b u l w a ˈɡ a n
bulwak	b u l ˈw a k
bulwang	b u l ˈw a ŋ
bulyaw	b u l ˈj a w
bulyos	b u l ˈj o s
bumaba	b u m a ˈb a ʔ
bumaba	b u ˈm a b a ʔ
bumaba	b u m a ˈb a
bumabagsak	b u m a ˈb a ɡ s a k
bumabahin	b u m a b a ˈh i n
bumabahing	b u m a b a ˈh i ŋ
bumagal	b u ˈm a ɡ a l
bumagsak	b u m a ɡ ˈs a k
bumagyo	b u m a ɡ ˈj o
bumaha	b u m a ˈh a ʔ
bumahin	b u m a ˈh i n
bumahing	b u m a ˈh i ŋ
bumali	b u ˈm a l i ʔ
bumalik	b u m a ˈl i k
bumalikwas	b u m a l i k ˈw a s
bumalintong	b u m a l i n ˈt o ŋ
Bumanlag	b u m a n ˈl a ɡ
Bumanglag	b u m a ŋ ˈl a ɡ
bumasa	b u ˈm a s a
bumasa	b u m a ˈs a ʔ
bumasag	b u ˈm a s a ɡ
bumata	b u ˈm a t a ʔ
bumatak	b u ˈm a t a k
bumatik	b u m a ˈt i k
bumbero	b u m ˈb e ɾ o
bumbilya	b u m ˈb i l j a
bumbon	b u m ˈb o n
bumbong	b u m ˈb o ŋ
bumbunan	b u m ˈb u n a n
bumbunan	b u m b u ˈn a n
bumerang	ˈb u m e ɾ a ŋ
bumibili	b u ˈm i b i l i
bumigay	b u m i ˈɡ a j
bumili	b u m i ˈl i
bumilis	b u m i ˈl i s
bumisita	b u m i ˈs i t a
bumitiw	b u m i ˈt i w
bumiyahe	b u m i ˈa h e
bumoto	b u ˈm o t o
bumulong	b u m u ˈl o ŋ
bumuo	b u m u ˈʔ o ʔ
bumuwelta	b u m u ˈe l t a
Bunag	ˈb u n a ɡ
bundok	b u n ˈd o k
bundol	b u n ˈd o l
buni	ˈb u n i
Bunlay	b u n ˈl a j
buno	b u ˈn o ʔ
bunot	b u ˈn o t
bunot	ˈb u n o t
bunot	b u ˈn o t
bunrok	b u n ˈɾ o k
bunso	b u n ˈs o ʔ
bunso	b u n ˈs o
bunso	b u ŋ ˈs o
bunso	b u ŋ ˈs o ʔ
bunsod	b u n ˈs o d
buntala	b u n ˈt a l a ʔ
buntis	b u n ˈt i s
bunto	b u n ˈt o
bunton	b u n ˈt o n
buntonghininga	b u n ˌt o ŋ h i n i ˈŋ a
buntot	b u n ˈt o t
buntutan	b u n t u ˈt a n
bunyag	b u n ˈj a ɡ
Bunye	ˈb u n j e
bunyi	b u n ˈj i ʔ
Bunyi	ˈb u n j i
bunga	ˈb u ŋ a
bungal	b u ˈŋ a l
bungantulog	ˌb u ŋ a n ˈt u l o ɡ
bunganga	b u ˈŋ a ŋ a ʔ
bungangera	b u ŋ a ˈŋ e ɾ a
bungangero	b u ŋ a ˈŋ e ɾ o
bungangkahoy	b u ŋ a ŋ ˈk a h o j
bungaw	b u ˈŋ a w
bungbong	b u ŋ ˈb o ŋ
bunggabilya	b u ŋ ɡ a ˈb i l j a
bunggalo	b u ŋ ɡ a ˈl o
bunggo	b u ŋ ˈɡ o ʔ
bungi	b u ˈŋ i ʔ
bungi	ˈb u ŋ i ʔ
bungisngis	b u ŋ i s ˈŋ i s
bungkos	b u ŋ ˈk o s
bungkugan	b u ŋ ˈk u ɡ a n
bungo	b u ˈŋ o ʔ
bungot	b u ˈŋ o t
bungoy	b u ˈŋ o j
bungso	b u ŋ ˈs o
bungso	b u ŋ ˈs o ʔ
buo	b u ˈʔ o ʔ
buo	ˈb u ʔ o ʔ
buod	b u ˈʔ o d
buoin	b u ʔ o ˈʔ i n
buol	b u ˈʔ o l
buol	ˈb u ʔ o l
buorin	b u ʔ o ˈɾ i n
buot	b u ˈʔ o t
Buquid	ˈb u k i d
bura	b u ˈɾ a
bura	ˈb u ɾ a
burado	b u ˈɾ a d o
burahin	b u ɾ a ˈh i n
burak	ˈb u ɾ a k
buraot	b u ˈɾ a ʔ o t
burara	b u ɾ a ˈɾ a ʔ
burara	b u ˈɾ a ɾ a ʔ
burat	b u ˈɾ a t
burda	b u ɾ ˈd a
burges	b u ɾ ˈɡ e s
burges	b u ɾ ˈɡ i s
burgis	b u ɾ ˈɡ i s
Burgos	ˈb u ɾ ɡ o s
Burias	ˈb u ɾ j a s
buriko	b u ˈɾ i k o
burloloy	b u ɾ ˈl o l o j
Burma	ˈb u ɾ m a
burnik	b u ɾ ˈn i k
burog	ˈb u ɾ o ɡ
burok	ˈb u ɾ o k
burol	b u ˈɾ o l
burol	ˈb u ɾ o l
burot	ˈb u ɾ o t
burukinto	b u ɾ u k i n ˈt o
Burundi	b u ˈɾ u n d i
buryong	b u ɾ ˈj o ŋ
bus	ˈb u s
bus	ˈb a s
busa	b u ˈs a
busa	ˈb u s a ʔ
busabos	b u ˈs a b o s
busal	b u ˈs a l
busal	ˈb u s a l
busangot	b u ˈs a ŋ o t
busangot	b u s a ˈŋ o t
busay	b u ˈs a j
busbos	b u s ˈb o s
busilak	b u ˈs i l a k
busilig	b u ˈs i l i ɡ
busina	b u ˈs i n a
busisi	b u ˈs i s i ʔ
busisi	b u s i ˈs i ʔ
buskarido	b u s k a ˈɾ i d o
buslo	b u s ˈl o ʔ
buslot	b u s ˈl o t
busog	b u ˈs o ɡ
busog	ˈb u s o ɡ
busol	b u ˈs o l
buson	b u ˈs o n
busong	ˈb u s o ŋ
Bustamante	b u s t a ˈm a n t e
buswang	b u s ˈw a ŋ
Butac	ˈb u t a k
butaka	b u ˈt a k a
butaka	b u ˈt a k a ʔ
butal	b u ˈt a l
butanding	b u t a n ˈd i ŋ
butang	b u ˈt a ŋ
butangero	b u t a ˈŋ e ɾ o
butas	ˈb u t a s
butas	b u ˈt a s
butaw	ˈb u t a w
butaw	b u ˈt a w
Butchoy	b u ˈt͡ʃ o j
butete	b u ˈt e t e ʔ
butete	b u ˈt e t e
buti	ˈb u t i
butig	b u ˈt i ɡ
butigan	b u t i ˈɡ a n
butiin	b u ˈt i ʔ i n
butiki	b u t i ˈk i ʔ
butil	ˈb u t i l
Buting	ˈb u t i ŋ
